"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","178.71","178.39","180.20","178.01","1.56M","0.07%"
"01/28/2026","178.59","178.11","181.00","177.38","4.40M","-0.16%"
"01/27/2026","178.88","175.97","179.31","174.67","3.89M","1.78%"
"01/26/2026","175.76","173.50","176.08","173.11","5.30M","1.58%"
"01/23/2026","173.02","170.07","173.25","168.74","5.04M","1.75%"
"01/22/2026","170.05","169.08","170.16","167.00","4.06M","0.73%"
"01/21/2026","168.81","167.50","169.02","163.13","5.90M","0.97%"
"01/20/2026","167.18","170.93","171.62","166.99","5.94M","-3.71%"
"01/16/2026","173.62","171.67","174.28","170.77","5.07M","0.61%"
"01/15/2026","172.56","170.34","174.01","170.03","5.00M","0.87%"
"01/14/2026","171.08","166.65","171.33","166.57","6.38M","3.15%"
"01/13/2026","165.85","164.65","166.76","163.31","3.98M","0.42%"
"01/12/2026","165.16","162.88","165.32","162.33","6.05M","1.57%"
"01/09/2026","162.61","159.18","162.78","159.18","4.37M","2.39%"
"01/08/2026","158.81","155.83","159.43","155.51","3.67M","2.36%"
"01/07/2026","155.15","155.01","156.42","153.71","6.11M","-0.01%"
"01/06/2026","155.16","159.77","160.20","155.14","5.22M","-2.94%"
"01/05/2026","159.86","159.00","160.45","155.30","8.23M","-0.27%"
"01/02/2026","160.30","160.26","162.15","159.21","3.94M","-0.06%"
"12/31/2025","160.40","161.49","161.99","160.29","2.59M","-0.96%"
"12/30/2025","161.95","161.60","162.38","161.17","2.90M","0.01%"
"12/29/2025","161.94","161.05","162.28","160.28","3.63M","0.55%"
"12/26/2025","161.05","161.17","162.62","160.89","3.80M","-0.98%"
"12/24/2025","162.64","162.26","163.70","161.92","1.75M","0.36%"
"12/23/2025","162.06","159.37","162.32","159.27","4.73M","1.48%"
"12/22/2025","159.70","157.01","161.18","156.99","7.39M","1.82%"
"12/19/2025","156.84","157.24","159.85","156.65","18.08M","-0.30%"
"12/18/2025","157.31","158.29","159.01","156.49","5.39M","-0.82%"
"12/17/2025","158.61","157.50","159.56","156.77","8.46M","0.42%"
"12/16/2025","157.95","158.75","159.87","157.48","5.95M","-0.29%"
"12/15/2025","158.41","154.10","159.27","153.52","7.02M","3.10%"
"12/12/2025","153.65","151.00","153.72","149.51","5.78M","1.79%"
"12/11/2025","150.95","150.99","152.64","150.41","4.13M","0.79%"
"12/10/2025","149.77","150.05","150.59","148.21","9.02M","-0.40%"
"12/09/2025","150.37","149.19","150.89","148.03","5.07M","1.40%"
"12/08/2025","148.29","147.56","149.87","146.65","6.66M","0.32%"
"12/05/2025","147.81","148.21","148.92","147.30","5.46M","-0.52%"
"12/04/2025","148.58","150.80","151.71","146.35","8.57M","-2.06%"
"12/03/2025","151.71","155.13","155.56","151.55","3.83M","-1.88%"
"12/02/2025","154.62","156.05","156.38","153.43","4.77M","-0.98%"
"12/01/2025","156.15","157.36","157.99","155.51","3.45M","-0.84%"
"11/28/2025","157.48","155.30","157.53","155.30","1.88M","0.63%"
"11/26/2025","156.49","157.94","158.22","156.29","4.17M","-0.58%"
"11/25/2025","157.41","152.68","158.23","152.40","7.29M","4.20%"
"11/24/2025","151.06","154.01","155.17","150.09","13.67M","-2.69%"
"11/21/2025","155.24","156.39","157.79","154.41","6.83M","-0.26%"
"11/20/2025","155.65","155.57","156.29","154.13","4.02M","0.03%"
"11/19/2025","155.61","155.51","156.67","154.00","4.34M","-0.15%"
"11/18/2025","155.85","154.12","157.62","152.81","5.14M","2.02%"
"11/17/2025","152.76","154.92","154.92","151.77","4.71M","-1.72%"
"11/14/2025","155.43","155.25","155.55","152.82","3.53M","0.18%"
"11/13/2025","155.15","155.69","156.06","153.00","5.29M","-0.26%"
"11/12/2025","155.56","156.25","157.35","155.50","4.78M","-0.79%"
"11/11/2025","156.80","155.42","157.51","155.27","3.57M","1.12%"
"11/10/2025","155.07","152.10","155.16","151.35","4.98M","1.10%"
"11/07/2025","153.39","151.25","153.52","149.37","7.37M","2.33%"
"11/06/2025","149.90","148.47","150.88","147.34","7.32M","1.01%"
"11/05/2025","148.40","148.19","150.43","147.25","5.93M","0.50%"
"11/04/2025","147.66","145.74","147.77","144.22","5.71M","2.12%"
"11/03/2025","144.60","143.50","145.12","142.11","5.06M","0.19%"
"10/31/2025","144.33","145.31","145.54","143.17","6.20M","-0.98%"
"10/30/2025","145.76","146.78","147.43","145.04","5.75M","-0.69%"
"10/29/2025","146.77","149.24","150.14","146.39","7.64M","-2.03%"
"10/28/2025","149.81","153.00","153.08","148.14","7.73M","-2.22%"
"10/27/2025","153.21","156.84","156.85","152.93","10.23M","-2.80%"
"10/24/2025","157.62","158.08","158.62","157.38","6.30M","-0.05%"
"10/23/2025","157.70","157.94","159.11","156.35","8.15M","0.54%"
"10/22/2025","156.86","151.87","156.96","151.00","12.74M","3.20%"
"10/21/2025","152.00","154.67","155.93","142.33","28.42M","-3.83%"
"10/20/2025","158.06","158.16","160.70","157.18","7.78M","0.00%"
"10/17/2025","158.06","157.03","158.98","156.87","5.37M","1.33%"
"10/16/2025","155.98","158.69","158.69","155.68","5.11M","-1.11%"
"10/15/2025","157.73","157.84","159.95","157.45","4.68M","-0.84%"
"10/14/2025","159.07","158.43","161.15","157.94","6.20M","-0.25%"
"10/13/2025","159.47","158.50","159.53","156.61","5.68M","-0.62%"
"10/10/2025","160.47","157.37","161.54","156.96","6.54M","2.31%"
"10/09/2025","156.85","155.28","156.88","153.51","4.46M","1.02%"
"10/08/2025","155.27","154.46","155.34","152.17","6.37M","0.47%"
"10/07/2025","154.55","153.50","155.14","152.31","6.79M","0.66%"
"10/06/2025","153.54","152.14","153.65","150.88","7.07M","0.18%"
"10/03/2025","153.27","155.80","156.40","151.15","11.15M","-2.94%"
"10/02/2025","157.91","160.54","162.13","157.56","6.93M","-1.83%"
"10/01/2025","160.86","162.87","164.06","158.45","8.63M","-0.83%"
"09/30/2025","162.20","162.90","163.60","161.69","6.40M","-0.48%"
"09/29/2025","162.99","164.53","164.99","162.50","6.95M","-1.15%"
"09/26/2025","164.89","164.65","164.97","163.00","3.74M","0.54%"
"09/25/2025","164.00","164.44","165.26","163.32","4.30M","0.61%"
"09/24/2025","163.00","163.54","164.82","162.76","6.37M","-0.47%"
"09/23/2025","163.77","161.87","164.17","161.01","4.62M","1.11%"
"09/22/2025","161.98","162.18","163.46","159.91","5.74M","-0.60%"
"09/19/2025","162.95","162.42","163.79","161.33","10.49M","0.74%"
"09/18/2025","161.76","163.99","164.72","161.12","6.55M","-2.73%"
"09/17/2025","166.30","163.79","167.08","163.34","5.59M","2.05%"
"09/16/2025","162.96","162.03","164.37","161.43","6.28M","0.82%"
"09/15/2025","161.64","165.51","165.51","161.47","5.58M","-2.69%"
"09/12/2025","166.11","167.32","168.79","165.10","3.69M","-1.07%"
"09/11/2025","167.90","165.90","169.86","165.20","4.80M","1.57%"
"09/10/2025","165.31","164.78","165.83","164.02","3.98M","0.35%"
"09/09/2025","164.74","162.13","165.04","161.10","3.85M","1.24%"
"09/08/2025","162.72","161.66","162.79","159.57","6.06M","0.72%"
"09/05/2025","161.55","161.47","162.06","160.07","4.06M","0.25%"
"09/04/2025","161.15","162.16","164.50","159.79","7.84M","-1.27%"
"09/03/2025","163.22","165.70","166.90","161.16","7.33M","-2.50%"
"09/02/2025","167.40","166.57","168.04","163.38","6.01M","0.16%"
"08/29/2025","167.13","166.41","167.29","165.17","5.36M","0.82%"
"08/28/2025","165.77","164.05","166.27","161.96","7.30M","0.96%"
"08/27/2025","164.19","165.90","166.02","163.93","5.16M","-1.49%"
"08/26/2025","166.68","167.34","167.58","165.53","5.86M","-0.41%"
"08/25/2025","167.37","171.76","171.94","166.83","4.87M","-2.55%"
"08/22/2025","171.75","174.77","175.23","170.05","4.76M","-1.57%"
"08/21/2025","174.49","173.00","174.88","172.75","4.40M","0.95%"
"08/20/2025","172.85","170.00","173.17","169.21","5.09M","2.42%"
"08/19/2025","168.77","166.35","169.09","166.30","4.11M","1.30%"
"08/18/2025","166.60","165.94","167.29","165.38","3.77M","0.25%"
"08/15/2025","166.19","165.26","166.82","164.19","4.03M","0.56%"
"08/14/2025","165.27","165.77","167.35","164.64","3.30M","-0.37%"
"08/13/2025","165.88","168.32","168.35","164.56","5.02M","-1.61%"
"08/12/2025","168.60","170.28","171.00","167.78","5.44M","-1.01%"
"08/11/2025","170.32","170.70","171.22","166.39","5.35M","0.08%"
"08/08/2025","170.18","168.09","170.80","167.97","3.77M","1.20%"
"08/07/2025","168.17","166.94","168.55","166.10","3.48M","0.71%"
"08/06/2025","166.99","165.05","168.37","164.26","5.92M","1.74%"
"08/05/2025","164.14","162.91","165.11","162.72","4.64M","0.71%"
"08/04/2025","162.99","163.69","164.71","162.34","5.19M","0.02%"
"08/01/2025","162.96","165.35","167.93","162.89","7.55M","-0.66%"
"07/31/2025","164.05","161.79","165.07","161.07","10.61M","1.16%"
"07/30/2025","162.17","162.47","164.50","162.06","7.78M","-0.36%"
"07/29/2025","162.75","158.47","162.85","157.83","9.43M","3.16%"
