"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","53.17","54.09","54.15","52.72","9.20M","-1.68%"
"01/28/2026","54.08","55.01","55.49","53.65","19.22M","-2.58%"
"01/27/2026","55.51","56.50","56.63","55.21","14.24M","-1.93%"
"01/26/2026","56.60","56.57","57.12","56.49","9.97M","-0.04%"
"01/23/2026","56.62","56.83","56.99","56.41","8.76M","-0.93%"
"01/22/2026","57.15","56.59","57.55","56.55","14.54M","2.25%"
"01/21/2026","55.89","55.52","56.33","55.10","15.12M","1.47%"
"01/20/2026","55.08","55.58","56.08","55.01","19.74M","-3.18%"
"01/16/2026","56.89","56.79","56.97","56.24","15.12M","0.26%"
"01/15/2026","56.74","57.74","57.86","56.60","16.41M","-1.60%"
"01/14/2026","57.66","56.40","57.79","56.27","16.04M","1.94%"
"01/13/2026","56.56","57.21","57.30","56.28","15.90M","-1.27%"
"01/12/2026","57.29","57.61","57.78","56.76","19.90M","-0.64%"
"01/09/2026","57.66","58.80","58.86","57.28","15.06M","-1.05%"
"01/08/2026","58.27","58.02","59.00","57.77","13.11M","-0.41%"
"01/07/2026","58.51","59.87","60.13","58.26","18.04M","-2.17%"
"01/06/2026","59.81","59.27","59.94","58.98","11.11M","0.88%"
"01/05/2026","59.29","58.01","60.10","57.90","17.12M","1.98%"
"01/02/2026","58.14","58.67","58.80","57.65","14.69M","-0.41%"
"12/31/2025","58.38","59.03","59.04","58.34","13.03M","-1.22%"
"12/30/2025","59.10","59.46","59.60","59.08","11.28M","-0.66%"
"12/29/2025","59.49","59.85","60.14","59.13","12.91M","-0.80%"
"12/26/2025","59.97","60.00","60.11","59.53","7.54M","-0.12%"
"12/25/2025","60.04","59.33","60.04","60.04","5.49M","0.00%"
"12/24/2025","60.04","59.33","60.15","59.31","5.49M","1.06%"
"12/23/2025","59.41","59.83","60.07","58.94","12.15M","-0.75%"
"12/22/2025","59.86","59.96","60.54","59.76","13.98M","0.08%"
"12/19/2025","59.81","58.92","60.12","58.80","31.93M","0.62%"
"12/18/2025","59.44","59.59","60.32","58.92","23.73M","-1.23%"
"12/17/2025","60.18","61.39","62.41","60.13","16.36M","-1.88%"
"12/16/2025","61.33","61.69","62.15","60.95","17.32M","0.97%"
"12/15/2025","60.74","61.96","62.82","60.63","18.19M","-1.49%"
"12/12/2025","61.66","61.08","62.15","61.00","15.96M","-0.05%"
"12/11/2025","61.69","60.08","61.79","59.85","14.02M","0.87%"
"12/10/2025","61.16","60.49","61.48","60.16","19.99M","0.63%"
"12/09/2025","60.78","60.75","61.50","60.49","13.21M","-0.56%"
"12/08/2025","61.12","62.42","62.51","60.99","12.54M","-1.86%"
"12/05/2025","62.28","61.67","62.94","61.48","11.15M","0.89%"
"12/04/2025","61.73","60.50","62.10","60.38","15.99M","0.80%"
"12/03/2025","61.24","62.85","63.93","60.41","24.40M","-2.64%"
"12/02/2025","62.90","62.92","63.83","62.15","10.83M","0.51%"
"12/01/2025","62.58","62.05","63.21","61.83","10.92M","-0.18%"
"11/28/2025","62.69","62.23","63.06","62.13","7.88M","1.39%"
"11/26/2025","61.83","61.40","62.16","61.17","8.34M","1.00%"
"11/25/2025","61.22","60.86","61.97","60.72","11.07M","1.09%"
"11/24/2025","60.56","60.61","60.83","59.85","21.01M","-0.02%"
"11/21/2025","60.57","58.24","60.96","58.04","20.85M","4.24%"
"11/20/2025","58.10","60.58","60.72","58.00","21.06M","-3.34%"
"11/19/2025","60.11","60.61","60.76","59.16","25.06M","-0.97%"
"11/18/2025","60.70","61.39","61.64","60.47","18.45M","-1.92%"
"11/17/2025","61.89","62.81","63.17","61.29","20.63M","-1.46%"
"11/14/2025","62.81","64.11","64.65","62.75","21.98M","-3.86%"
"11/13/2025","65.33","66.51","67.28","65.15","14.19M","-2.78%"
"11/12/2025","67.20","67.53","67.99","66.90","10.13M","-0.30%"
"11/11/2025","67.40","66.25","67.95","66.23","10.03M","1.74%"
"11/10/2025","66.25","67.06","67.43","65.74","11.13M","0.05%"
"11/07/2025","66.22","65.50","66.51","64.78","13.45M","-0.06%"
"11/06/2025","66.26","67.80","68.07","66.21","11.48M","-2.64%"
