"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","152.20","153.09","153.09","149.75","3.40M","-0.33%"
"01/28/2026","152.70","152.00","154.00","150.40","8.54M","-0.22%"
"01/27/2026","153.04","156.32","156.74","152.66","8.35M","-0.96%"
"01/26/2026","154.52","154.80","156.20","154.30","8.00M","-0.83%"
"01/23/2026","155.82","157.04","157.98","154.85","7.11M","-1.25%"
"01/22/2026","157.80","158.47","159.43","156.81","7.45M","0.91%"
"01/21/2026","156.37","156.33","157.52","154.62","9.18M","1.49%"
"01/20/2026","154.07","154.95","157.71","153.25","11.97M","-3.36%"
"01/16/2026","159.42","161.39","161.70","159.21","11.99M","-1.22%"
"01/15/2026","161.39","166.45","166.50","161.03","9.24M","-1.91%"
"01/14/2026","164.54","163.68","164.74","162.35","7.96M","-0.45%"
"01/13/2026","165.29","166.98","168.35","164.97","9.99M","-2.35%"
"01/12/2026","169.27","175.88","175.88","169.24","13.66M","-4.79%"
"01/09/2026","177.78","178.12","179.44","174.80","9.66M","-2.25%"
"01/08/2026","181.87","178.80","184.31","176.20","8.35M","0.93%"
"01/07/2026","180.19","182.39","184.07","177.11","9.85M","-1.24%"
"01/06/2026","182.45","177.21","184.45","176.62","11.03M","3.48%"
"01/05/2026","176.31","175.46","178.85","174.01","8.97M","1.93%"
"01/02/2026","172.98","173.80","174.68","172.20","6.53M","1.13%"
"12/31/2025","171.05","173.61","173.77","171.01","4.68M","-1.50%"
"12/30/2025","173.65","174.06","174.40","173.34","3.43M","0.13%"
"12/29/2025","173.43","174.01","175.19","172.79","3.98M","-0.79%"
"12/26/2025","174.81","175.00","175.50","174.35","2.44M","0.02%"
"12/24/2025","174.77","175.04","175.49","174.41","1.65M","0.01%"
"12/23/2025","174.75","173.61","175.27","173.51","4.69M","0.30%"
"12/22/2025","174.22","177.55","178.32","173.90","6.42M","-0.59%"
"12/19/2025","175.25","174.44","177.19","174.20","25.22M","0.61%"
"12/18/2025","174.19","175.71","177.08","173.52","8.97M","1.07%"
"12/17/2025","172.34","176.12","177.48","172.05","8.50M","-2.15%"
"12/16/2025","176.12","179.18","179.18","174.81","7.14M","-1.75%"
"12/15/2025","179.26","179.71","180.31","176.39","6.95M","0.54%"
"12/12/2025","178.29","181.24","183.11","177.87","8.87M","-1.64%"
"12/11/2025","181.27","181.37","181.64","178.09","6.32M","-0.52%"
"12/10/2025","182.21","175.81","183.44","175.25","11.10M","3.53%"
"12/09/2025","176.00","174.50","176.35","172.32","7.72M","0.39%"
"12/08/2025","175.31","174.74","175.50","173.72","6.69M","0.29%"
"12/05/2025","174.81","174.74","177.25","174.50","8.40M","0.26%"
"12/04/2025","174.35","174.33","174.93","173.23","7.25M","-0.41%"
"12/03/2025","175.07","170.90","175.09","170.35","7.62M","2.56%"
"12/02/2025","170.70","168.75","171.17","167.64","9.16M","1.58%"
"12/01/2025","168.04","165.91","169.03","165.50","6.82M","-0.03%"
"11/28/2025","168.09","165.03","168.19","164.13","5.07M","1.79%"
"11/26/2025","165.14","164.12","166.25","163.15","7.97M","1.13%"
"11/25/2025","163.30","163.99","164.97","161.87","7.76M","-1.07%"
"11/24/2025","165.06","164.37","166.94","163.72","12.07M","1.08%"
"11/21/2025","163.30","160.75","165.27","159.10","10.82M","2.32%"
"11/20/2025","159.59","167.13","168.88","158.85","12.08M","-3.93%"
"11/19/2025","166.11","164.69","167.51","164.11","8.18M","0.64%"
"11/18/2025","165.06","164.89","166.79","161.39","11.07M","-1.01%"
"11/17/2025","166.75","172.80","174.84","165.17","10.21M","-4.16%"
"11/14/2025","173.98","171.77","175.69","171.40","7.95M","-0.30%"
"11/13/2025","174.50","176.63","178.83","173.03","9.53M","-1.23%"
"11/12/2025","176.67","175.00","177.42","174.88","8.79M","1.55%"
"11/11/2025","173.98","171.00","175.98","171.00","8.42M","1.40%"
"11/10/2025","171.57","173.76","174.80","169.50","10.13M","0.40%"
"11/07/2025","170.89","172.73","174.25","168.25","10.61M","-1.33%"
"11/06/2025","173.20","177.80","178.51","170.06","16.18M","-3.63%"
"11/05/2025","179.72","174.76","183.43","174.32","18.85M","3.98%"
"11/04/2025","172.84","177.48","179.34","172.29","12.32M","-4.36%"
"11/03/2025","180.72","182.95","183.45","179.09","8.54M","-0.10%"
"10/31/2025","180.90","178.52","182.15","176.83","9.45M","2.05%"
"10/30/2025","177.26","178.68","179.88","177.19","7.86M","-0.79%"
"10/29/2025","178.67","182.00","183.49","178.20","11.61M","-1.30%"
"10/28/2025","181.03","183.93","185.91","179.41","20.32M","-3.54%"
"10/27/2025","187.68","168.95","205.95","168.82","81.80M","11.09%"
"10/24/2025","168.94","171.69","172.42","168.47","6.26M","-0.64%"
"10/23/2025","170.03","168.33","171.25","167.88","6.55M","0.45%"
"10/22/2025","169.27","167.49","169.78","166.02","10.08M","0.26%"
"10/21/2025","168.83","166.80","169.24","166.20","6.18M","1.07%"
"10/20/2025","167.04","163.34","167.65","162.06","8.19M","2.20%"
"10/17/2025","163.45","162.86","163.79","161.67","4.83M","-0.38%"
"10/16/2025","164.08","164.49","165.19","162.21","5.69M","0.68%"
"10/15/2025","162.97","164.24","164.24","160.31","7.33M","0.76%"
"10/14/2025","161.74","159.30","164.26","159.26","8.68M","-0.02%"
"10/13/2025","161.78","155.95","162.39","155.78","10.31M","5.33%"
"10/10/2025","153.59","164.82","165.09","153.35","15.82M","-7.29%"
"10/09/2025","165.66","167.37","167.61","163.23","6.93M","-1.26%"
