"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","198.61","201.15","203.24","198.61","3.48M","-0.43%"
"01/28/2026","199.46","201.28","205.36","198.55","6.83M","-0.90%"
"01/27/2026","201.28","199.51","202.20","195.44","10.13M","3.68%"
"01/26/2026","194.13","195.25","195.89","193.50","6.68M","-0.92%"
"01/23/2026","195.93","196.85","197.58","195.00","5.11M","-0.21%"
"01/22/2026","196.34","198.99","198.99","195.81","4.07M","-0.59%"
"01/21/2026","197.50","197.60","198.30","195.58","5.46M","0.58%"
"01/20/2026","196.36","200.65","203.03","196.10","6.05M","-2.75%"
"01/16/2026","201.92","200.09","202.17","199.58","4.83M","1.05%"
"01/15/2026","199.83","198.95","200.31","196.66","3.66M","0.50%"
"01/14/2026","198.84","194.84","198.87","193.38","5.25M","2.45%"
"01/13/2026","194.08","195.62","197.55","193.00","5.85M","0.12%"
"01/12/2026","193.85","189.71","194.03","189.41","5.39M","2.84%"
"01/09/2026","188.50","186.03","189.09","184.37","7.59M","0.71%"
"01/08/2026","187.17","191.03","196.70","184.90","9.77M","0.78%"
"01/07/2026","185.73","191.92","193.79","185.61","7.67M","-2.45%"
"01/06/2026","190.40","188.70","190.71","187.71","3.91M","1.14%"
"01/05/2026","188.26","187.30","190.50","186.43","6.05M","0.54%"
"01/02/2026","187.25","183.50","187.27","182.17","3.33M","2.10%"
"12/31/2025","183.40","184.10","184.40","182.64","2.64M","-0.33%"
"12/30/2025","184.01","184.93","185.00","183.70","1.81M","-0.22%"
"12/29/2025","184.42","185.17","185.60","184.18","2.03M","-0.41%"
"12/26/2025","185.17","186.22","186.28","184.51","1.39M","-0.65%"
"12/24/2025","186.38","185.69","187.10","185.50","1.42M","0.33%"
"12/23/2025","185.76","185.75","188.00","185.26","3.35M","0.04%"
"12/22/2025","185.68","182.86","185.87","181.76","3.21M","2.02%"
"12/19/2025","182.01","178.96","183.24","178.66","11.46M","2.09%"
"12/18/2025","178.29","178.49","180.50","178.09","4.09M","0.62%"
"12/17/2025","177.20","178.92","180.33","176.54","6.63M","-1.52%"
"12/16/2025","179.93","180.51","181.88","178.89","4.32M","-1.20%"
"12/15/2025","182.11","179.74","182.28","179.17","3.69M","1.93%"
"12/12/2025","178.66","179.40","179.45","176.63","6.44M","0.70%"
"12/11/2025","177.42","174.70","179.14","174.30","4.87M","1.55%"
"12/10/2025","174.72","171.17","177.13","170.35","5.61M","1.62%"
"12/09/2025","171.93","172.52","175.71","171.24","4.82M","0.24%"
"12/08/2025","171.52","171.39","171.99","169.54","3.50M","0.25%"
"12/05/2025","171.10","172.00","172.00","168.94","3.03M","-0.12%"
"12/04/2025","171.31","168.90","172.09","168.65","7.49M","1.70%"
"12/03/2025","168.45","169.05","169.19","166.74","5.45M","-0.21%"
"12/02/2025","168.80","169.38","169.38","168.04","4.05M","0.46%"
"12/01/2025","168.02","173.70","174.00","167.90","4.89M","-3.94%"
"11/28/2025","174.91","173.04","174.93","173.00","1.68M","0.99%"
"11/26/2025","173.19","172.56","174.03","172.02","3.56M","0.60%"
"11/25/2025","172.15","172.76","173.63","169.52","5.51M","-0.61%"
"11/24/2025","173.21","169.28","173.65","168.90","8.12M","2.08%"
"11/21/2025","169.68","172.26","172.30","168.62","6.11M","-1.77%"
"11/20/2025","172.73","176.54","177.55","172.50","4.22M","-0.60%"
"11/19/2025","173.77","173.51","174.77","172.50","3.90M","-0.54%"
"11/18/2025","174.72","176.70","177.93","174.31","3.74M","-0.52%"
"11/17/2025","175.63","176.10","176.30","174.63","3.91M","0.03%"
"11/14/2025","175.57","173.96","176.16","172.50","3.22M","0.93%"
"11/13/2025","173.96","178.63","178.79","173.13","3.62M","-2.10%"
"11/12/2025","177.69","178.60","179.90","177.37","4.47M","-0.85%"
"11/11/2025","179.22","178.81","180.00","177.41","3.39M","0.11%"
"11/10/2025","179.03","176.84","179.55","176.30","2.74M","1.16%"
"11/07/2025","176.97","175.26","177.69","173.75","3.77M","1.07%"
"11/06/2025","175.10","174.01","175.39","173.60","3.63M","0.63%"
"11/05/2025","174.00","174.90","176.76","173.92","4.49M","-0.92%"
"11/04/2025","175.61","176.56","177.89","175.44","3.84M","-0.81%"
"11/03/2025","177.04","178.49","178.54","175.45","3.84M","-0.82%"
"10/31/2025","178.50","177.50","179.11","176.75","4.35M","0.61%"
"10/30/2025","177.42","177.12","179.00","176.82","3.64M","0.60%"
"10/29/2025","176.36","177.79","178.98","176.00","4.29M","-1.29%"
"10/28/2025","178.67","179.30","181.31","178.55","3.34M","-0.32%"
"10/27/2025","179.24","179.43","179.63","177.50","4.04M","0.33%"
"10/24/2025","178.65","180.46","180.50","178.29","3.47M","-0.44%"
"10/23/2025","179.44","177.60","179.98","176.50","5.25M","0.82%"
"10/22/2025","177.98","174.49","178.72","173.92","10.22M","2.85%"
"10/21/2025","173.04","171.81","178.76","170.26","12.30M","7.67%"
"10/20/2025","160.71","159.67","162.07","159.45","6.52M","1.75%"
"10/17/2025","157.95","156.33","158.54","156.10","5.44M","0.57%"
"10/16/2025","157.05","157.77","158.33","156.10","3.93M","0.03%"
"10/15/2025","157.00","159.49","160.65","155.64","5.95M","-1.51%"
"10/14/2025","159.40","158.20","160.58","157.29","3.59M","0.35%"
"10/13/2025","158.85","158.45","159.55","157.37","5.32M","0.73%"
"10/10/2025","157.70","162.01","162.46","157.43","7.78M","-2.76%"
"10/09/2025","162.18","168.99","169.15","161.90","5.96M","-3.79%"
"10/08/2025","168.57","170.07","170.85","168.43","4.68M","-0.41%"
"10/07/2025","169.27","169.36","170.36","168.82","5.19M","0.28%"
"10/06/2025","168.80","167.00","169.75","167.00","3.82M","1.33%"
"10/03/2025","166.58","166.81","167.26","165.49","2.68M","-0.03%"
"10/02/2025","166.63","167.14","168.25","165.89","3.50M","-0.34%"
"10/01/2025","167.20","165.87","167.72","165.08","4.03M","-0.08%"
"09/30/2025","167.33","164.29","167.50","163.87","4.89M","2.26%"
"09/29/2025","163.63","167.43","168.28","162.79","6.22M","0.17%"
"09/26/2025","163.35","162.00","165.35","161.69","3.96M","1.77%"
"09/25/2025","160.51","162.14","162.30","159.69","3.92M","-0.54%"
"09/24/2025","161.38","161.15","163.03","160.70","4.27M","0.52%"
"09/23/2025","160.54","159.74","161.40","158.95","3.29M","0.70%"
"09/22/2025","159.43","158.07","159.80","157.67","3.30M","0.75%"
"09/19/2025","158.24","158.70","158.70","156.69","7.08M","0.03%"
"09/18/2025","158.19","157.31","158.29","156.50","3.70M","-0.08%"
"09/17/2025","158.31","158.57","159.32","157.62","4.00M","-0.17%"
"09/16/2025","158.58","159.85","159.95","157.64","6.53M","0.13%"
"09/15/2025","158.37","155.93","158.48","155.71","3.89M","1.62%"
"09/12/2025","155.85","157.75","158.14","155.82","3.19M","-1.14%"
"09/11/2025","157.65","155.03","158.01","154.36","4.29M","1.71%"
"09/10/2025","155.00","152.00","155.04","151.65","4.52M","2.14%"
"09/09/2025","151.75","153.64","153.70","150.61","5.46M","-1.60%"
"09/08/2025","154.22","156.92","157.00","153.66","5.52M","-2.09%"
"09/05/2025","157.52","158.60","159.00","155.56","4.05M","-0.73%"
"09/04/2025","158.68","158.23","159.17","157.55","3.22M","0.36%"
"09/03/2025","158.11","157.95","158.34","156.45","2.74M","0.06%"
"09/02/2025","158.01","158.20","158.63","156.37","3.26M","-0.37%"
"08/29/2025","158.60","161.05","161.10","158.43","3.77M","-1.28%"
"08/28/2025","160.66","160.15","161.26","159.25","3.12M","0.51%"
"08/27/2025","159.84","159.97","160.21","159.00","2.99M","0.17%"
"08/26/2025","159.57","156.76","159.70","156.38","5.10M","2.11%"
"08/25/2025","156.27","156.63","157.64","156.00","2.43M","0.02%"
"08/22/2025","156.24","157.05","157.94","156.21","4.25M","-0.05%"
"08/21/2025","156.32","156.79","157.75","156.22","3.18M","-0.17%"
"08/20/2025","156.59","153.77","157.11","153.09","3.77M","1.91%"
"08/19/2025","153.66","154.57","155.13","153.21","3.01M","-1.18%"
"08/18/2025","155.50","154.43","156.18","154.40","3.68M","0.92%"
"08/15/2025","154.09","154.26","154.87","153.33","4.59M","-0.64%"
"08/14/2025","155.08","155.60","156.33","154.65","2.77M","-0.40%"
"08/13/2025","155.71","156.00","156.34","152.66","5.01M","0.14%"
"08/12/2025","155.49","154.97","155.93","154.56","2.96M","0.45%"
"08/11/2025","154.80","154.73","155.67","154.14","3.57M","-0.04%"
"08/08/2025","154.86","156.60","156.92","154.72","3.67M","-0.58%"
"08/07/2025","155.76","154.65","155.76","153.24","5.11M","0.01%"
"08/06/2025","155.75","156.65","157.73","155.64","4.11M","-0.37%"
"08/05/2025","156.33","157.27","158.04","155.76","4.99M","-0.67%"
"08/04/2025","157.38","157.13","158.41","156.74","3.96M","0.36%"
"08/01/2025","156.81","156.29","157.48","153.75","4.42M","-0.48%"
"07/31/2025","157.57","158.11","158.23","156.75","4.80M","-0.52%"
"07/30/2025","158.40","157.45","158.73","156.42","4.00M","0.81%"
"07/29/2025","157.12","157.73","158.79","156.33","4.34M","0.67%"
"07/28/2025","156.07","157.15","157.33","155.63","4.02M","-0.52%"
"07/25/2025","156.88","155.21","157.33","154.26","4.73M","1.07%"
"07/24/2025","155.22","156.25","157.24","155.15","4.87M","-0.81%"
"07/23/2025","156.49","150.00","156.59","149.11","8.67M","4.91%"
"07/22/2025","149.17","145.48","150.27","143.56","10.72M","-1.58%"
"07/21/2025","151.56","151.98","153.39","151.06","7.12M","0.04%"
"07/18/2025","151.50","151.81","152.85","151.08","5.93M","0.00%"
"07/17/2025","151.50","150.56","151.99","150.19","4.33M","0.89%"
"07/16/2025","150.17","148.85","150.36","148.26","3.36M","1.00%"
"07/15/2025","148.68","149.80","150.75","148.40","4.53M","-0.40%"
"07/14/2025","149.28","147.89","149.57","147.08","4.46M","1.64%"
"07/11/2025","146.87","146.18","147.07","145.50","3.47M","0.32%"
"07/10/2025","146.40","146.11","146.54","145.03","4.13M","0.15%"
"07/09/2025","146.18","145.73","146.50","144.73","2.67M","0.88%"
"07/08/2025","144.91","145.65","146.00","142.98","4.33M","-0.69%"
"07/07/2025","145.92","146.26","146.78","145.13","4.53M","0.12%"
"07/03/2025","145.75","144.49","146.39","144.37","1.89M","0.85%"
"07/02/2025","144.52","143.66","144.72","142.96","3.25M","0.23%"
