"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","103.65","104.25","104.95","103.08","2.84M","0.17%"
"01/28/2026","103.47","103.57","103.79","102.75","7.53M","-0.24%"
"01/27/2026","103.72","102.57","104.10","102.25","8.84M","0.76%"
"01/26/2026","102.94","102.52","103.68","102.46","7.36M","0.74%"
"01/23/2026","102.18","103.67","104.08","101.24","8.71M","-1.80%"
"01/22/2026","104.05","103.07","105.81","103.01","13.54M","2.22%"
"01/21/2026","101.79","101.33","104.83","99.69","17.88M","0.79%"
"01/20/2026","100.99","102.31","103.45","100.90","12.98M","-2.73%"
"01/16/2026","103.82","102.64","104.98","102.64","10.87M","1.03%"
"01/15/2026","102.76","102.20","103.60","102.00","8.32M","0.82%"
"01/14/2026","101.92","100.86","101.94","99.60","6.64M","0.73%"
"01/13/2026","101.18","101.99","102.26","100.39","7.03M","-0.71%"
"01/12/2026","101.90","100.24","102.28","100.05","8.85M","1.73%"
"01/09/2026","100.17","101.34","101.62","100.14","6.84M","-1.15%"
"01/08/2026","101.34","102.28","102.49","101.14","6.50M","-0.58%"
"01/07/2026","101.93","103.87","103.95","101.84","7.35M","-1.58%"
"01/06/2026","103.57","104.34","104.76","103.52","7.29M","-0.16%"
"01/05/2026","103.74","101.74","104.44","101.74","9.21M","2.14%"
"01/02/2026","101.57","99.77","101.83","99.41","8.41M","1.66%"
"12/31/2025","99.91","100.80","100.91","99.89","4.38M","-0.64%"
"12/30/2025","100.55","101.58","101.65","100.32","3.94M","-0.75%"
"12/29/2025","101.31","101.71","101.80","101.22","7.96M","-0.57%"
"12/26/2025","101.89","101.87","102.28","101.54","2.78M","0.04%"
"12/25/2025","101.85","101.35","101.85","101.85","2.86M","0.00%"
"12/24/2025","101.85","101.35","102.11","100.89","2.86M","0.66%"
"12/23/2025","101.18","101.52","102.05","100.90","5.73M","-0.23%"
"12/22/2025","101.41","99.56","101.74","99.05","9.31M","2.62%"
"12/19/2025","98.82","97.40","99.53","97.22","23.21M","1.64%"
"12/18/2025","97.23","96.90","97.38","95.92","9.63M","0.64%"
"12/17/2025","96.61","96.57","97.20","95.82","10.93M","0.64%"
"12/16/2025","96.00","95.30","96.44","95.03","9.62M","0.76%"
"12/15/2025","95.28","96.73","97.16","94.51","9.84M","-1.42%"
"12/12/2025","96.65","96.99","97.40","94.38","13.41M","-0.41%"
"12/11/2025","97.05","95.56","97.09","94.86","10.56M","1.29%"
"12/10/2025","95.81","94.36","96.38","94.07","8.52M","1.75%"
"12/09/2025","94.16","94.08","95.77","94.01","6.48M","-0.13%"
"12/08/2025","94.28","93.64","94.42","92.75","8.37M","0.49%"
"12/05/2025","93.82","94.70","95.61","93.79","9.04M","-1.27%"
"12/04/2025","95.03","94.12","95.40","93.96","8.37M","1.11%"
"12/03/2025","93.99","92.02","94.02","91.60","9.69M","2.09%"
"12/02/2025","92.07","92.80","93.11","92.03","10.61M","-0.67%"
"12/01/2025","92.69","92.03","93.21","91.82","7.97M","-0.04%"
"11/28/2025","92.73","91.85","93.24","91.57","6.71M","1.01%"
"11/26/2025","91.80","91.00","92.37","90.94","6.70M","1.17%"
"11/25/2025","90.74","90.29","91.14","89.50","8.98M","0.24%"
"11/24/2025","90.52","90.65","90.89","89.64","9.97M","0.01%"
"11/21/2025","90.51","90.99","91.20","89.35","8.27M","0.02%"
"11/20/2025","90.49","93.59","94.39","90.46","14.23M","-2.32%"
"11/19/2025","92.64","92.02","93.39","91.60","6.19M","0.39%"
"11/18/2025","92.28","91.60","93.35","91.26","8.51M","0.40%"
"11/17/2025","91.91","94.56","94.58","91.59","9.14M","-2.63%"
"11/14/2025","94.39","94.93","95.63","93.34","9.36M","-1.02%"
"11/13/2025","95.36","97.87","98.26","94.92","8.35M","-2.41%"
"11/12/2025","97.71","96.28","98.50","96.13","10.61M","1.65%"
"11/11/2025","96.12","95.00","97.13","94.92","5.64M","0.56%"
"11/10/2025","95.58","94.90","96.02","94.72","8.50M","0.36%"
"11/07/2025","95.24","94.51","95.49","93.32","6.74M","1.10%"
"11/06/2025","94.20","94.00","94.75","93.53","6.35M","0.56%"
"11/05/2025","93.68","93.54","94.07","92.78","8.34M","-0.17%"
"11/04/2025","93.84","92.80","94.12","92.13","7.72M","0.74%"
"11/03/2025","93.15","94.89","95.04","92.61","6.98M","-1.45%"
"10/31/2025","94.52","94.02","94.83","93.11","6.28M","0.12%"
"10/30/2025","94.41","94.69","95.53","93.54","5.75M","-0.21%"
"10/29/2025","94.61","93.49","95.11","93.25","11.77M","0.81%"
"10/28/2025","93.85","94.97","95.00","93.51","7.09M","-1.04%"
"10/27/2025","94.84","95.00","95.28","94.54","7.58M","0.44%"
"10/24/2025","94.42","95.00","95.42","94.31","7.12M","-0.19%"
"10/23/2025","94.60","94.81","95.15","93.94","7.71M","0.31%"
"10/22/2025","94.31","95.30","95.76","93.63","10.39M","-0.82%"
"10/21/2025","95.09","94.57","95.41","93.80","7.45M","0.15%"
"10/20/2025","94.95","94.20","95.68","94.20","7.38M","0.86%"
"10/17/2025","94.14","94.72","94.86","92.83","9.20M","0.78%"
"10/16/2025","93.41","94.77","97.16","93.21","17.32M","-0.98%"
"10/15/2025","94.33","94.31","94.95","93.18","15.69M","1.01%"
"10/14/2025","93.39","93.13","94.98","93.03","8.93M","-0.11%"
"10/13/2025","93.49","92.38","93.78","91.98","8.77M","1.66%"
"10/10/2025","91.96","94.30","94.86","91.96","8.02M","-2.19%"
"10/09/2025","94.02","94.10","94.36","92.78","8.58M","0.25%"
"10/08/2025","93.79","94.13","94.42","92.67","6.12M","-0.23%"
"10/07/2025","94.01","94.65","94.73","93.37","7.58M","0.01%"
"10/06/2025","94.00","94.43","95.08","93.42","6.28M","-0.09%"
"10/03/2025","94.08","92.70","94.36","92.60","6.76M","1.49%"
"10/02/2025","92.70","92.49","93.07","92.13","6.88M","0.49%"
"10/01/2025","92.25","94.60","94.72","92.17","11.65M","-3.37%"
"09/30/2025","95.47","96.85","97.30","94.46","8.61M","-1.47%"
"09/29/2025","96.89","95.76","96.97","95.44","8.36M","1.50%"
"09/26/2025","95.46","95.13","95.97","94.74","5.29M","0.72%"
"09/25/2025","94.78","92.39","94.80","92.00","9.20M","2.61%"
"09/24/2025","92.37","94.06","94.13","91.70","10.34M","-1.64%"
"09/23/2025","93.91","94.01","94.93","93.36","6.92M","-0.55%"
"09/22/2025","94.43","93.67","94.48","93.33","11.08M","0.11%"
"09/19/2025","94.33","93.36","94.56","92.80","15.16M","1.13%"
"09/18/2025","93.28","91.92","93.74","91.90","10.44M","1.29%"
"09/17/2025","92.09","91.07","92.18","90.55","14.50M","1.16%"
"09/16/2025","91.03","92.33","92.40","90.50","13.61M","-1.16%"
"09/15/2025","92.10","93.76","94.10","91.68","9.65M","-1.54%"
"09/12/2025","93.54","93.93","94.50","93.36","7.70M","-0.43%"
"09/11/2025","93.94","92.28","94.08","91.83","8.72M","1.84%"
"09/10/2025","92.24","93.15","93.36","91.86","12.54M","-1.53%"
"09/09/2025","93.67","93.57","94.05","91.43","10.77M","0.24%"
"09/08/2025","93.45","92.18","93.64","91.85","12.68M","1.52%"
"09/05/2025","92.05","97.23","97.60","91.52","18.24M","-5.72%"
"09/04/2025","97.63","96.87","97.74","96.21","7.50M","1.47%"
"09/03/2025","96.22","96.21","96.61","95.26","7.26M","0.10%"
"09/02/2025","96.12","95.35","96.12","94.04","7.74M","0.29%"
"08/29/2025","95.84","97.08","97.40","94.99","8.83M","-1.29%"
"08/28/2025","97.09","96.95","97.38","96.52","6.61M","0.23%"
"08/27/2025","96.87","97.29","97.53","96.83","5.07M","-0.38%"
"08/26/2025","97.24","96.10","97.48","95.93","7.72M","1.09%"
"08/25/2025","96.19","95.89","96.53","95.34","5.96M","0.38%"
"08/22/2025","95.83","96.17","97.04","94.35","12.86M","0.01%"
"08/21/2025","95.82","95.38","96.08","95.18","5.16M","0.32%"
"08/20/2025","95.51","95.91","96.15","94.38","9.44M","-0.26%"
"08/19/2025","95.76","96.00","96.73","95.54","6.78M","-0.43%"
"08/18/2025","96.17","96.09","96.69","95.71","6.80M","0.06%"
"08/15/2025","96.11","97.15","97.17","95.89","9.54M","-1.71%"
"08/14/2025","97.78","97.36","98.21","95.60","11.31M","2.29%"
"08/13/2025","95.59","98.97","99.42","95.28","12.46M","-3.14%"
"08/12/2025","98.69","98.16","99.24","97.94","7.55M","1.09%"
"08/11/2025","97.63","97.15","97.91","96.90","7.34M","0.57%"
"08/08/2025","97.08","96.26","97.23","95.95","5.03M","1.14%"
"08/07/2025","95.99","97.13","97.30","94.69","7.31M","-0.74%"
"08/06/2025","96.71","96.79","97.22","96.20","5.71M","0.28%"
"08/05/2025","96.44","97.35","97.82","95.83","6.24M","-0.68%"
"08/04/2025","97.10","96.10","97.26","95.84","9.03M","1.64%"
"08/01/2025","95.53","96.23","96.50","94.41","9.79M","-2.25%"
"07/31/2025","97.73","98.00","98.75","97.55","8.16M","-0.85%"
"07/30/2025","98.57","98.00","98.88","97.60","5.96M","0.67%"
"07/29/2025","97.91","99.00","99.59","97.72","9.53M","0.00%"
"07/28/2025","97.91","97.09","98.08","96.90","7.20M","0.88%"
"07/25/2025","97.06","97.48","98.28","96.65","9.11M","0.58%"
"07/24/2025","96.50","95.20","96.75","94.72","9.05M","1.42%"
"07/23/2025","95.15","95.61","95.87","94.85","8.80M","-0.25%"
"07/22/2025","95.39","96.34","96.62","94.98","8.87M","-0.89%"
"07/21/2025","96.25","96.02","97.08","95.15","11.87M","0.47%"
"07/18/2025","95.80","95.70","97.50","94.67","23.55M","2.90%"
"07/17/2025","93.10","91.26","93.43","91.11","12.58M","2.02%"
"07/16/2025","91.26","91.78","91.99","89.95","10.83M","-0.38%"
"07/15/2025","91.61","92.73","92.90","91.58","7.26M","-1.18%"
"07/14/2025","92.70","92.08","93.00","91.34","6.12M","0.79%"
"07/11/2025","91.97","92.53","92.99","91.82","6.82M","-1.15%"
"07/10/2025","93.04","92.41","93.35","92.03","6.74M","0.78%"
"07/09/2025","92.32","92.31","92.67","91.96","6.14M","0.40%"
"07/08/2025","91.95","92.65","92.80","91.29","7.09M","-0.70%"
"07/07/2025","92.60","91.50","92.65","91.32","7.30M","1.22%"
"07/03/2025","91.48","91.50","92.15","91.10","5.77M","0.15%"
"07/02/2025","91.34","91.37","91.82","90.88","6.12M","0.19%"
"07/01/2025","91.17","90.92","91.68","90.14","8.20M","-0.08%"
"06/30/2025","91.24","90.25","91.36","90.11","9.53M","1.40%"
