"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","88.78","88.82","89.45","88.59","1.83M","0.51%"
"01/28/2026","88.33","88.69","89.24","88.15","4.25M","-0.57%"
"01/27/2026","88.84","88.13","89.07","87.78","4.47M","0.77%"
"01/26/2026","88.16","88.00","89.04","87.97","7.61M","0.71%"
"01/23/2026","87.54","87.77","88.50","86.89","5.48M","0.03%"
"01/22/2026","87.51","89.13","89.45","87.39","8.03M","-1.84%"
"01/21/2026","89.15","89.33","89.55","88.12","8.56M","0.37%"
"01/20/2026","88.82","88.60","89.18","87.54","6.84M","-0.09%"
"01/16/2026","88.90","88.52","89.40","88.18","5.20M","0.14%"
"01/15/2026","88.78","88.40","89.11","87.94","3.83M","0.41%"
"01/14/2026","88.42","87.65","88.68","87.57","5.13M","0.99%"
"01/13/2026","87.55","86.75","87.56","86.01","5.36M","0.93%"
"01/12/2026","86.74","87.11","87.25","86.11","5.75M","-0.31%"
"01/09/2026","87.01","87.22","87.82","86.97","3.15M","-0.24%"
"01/08/2026","87.22","86.23","87.86","86.14","4.08M","1.10%"
"01/07/2026","86.27","87.75","87.90","85.97","3.14M","-1.43%"
"01/06/2026","87.52","87.00","87.73","86.58","5.03M","0.75%"
"01/05/2026","86.87","86.74","86.97","85.22","4.95M","-0.36%"
"01/02/2026","87.18","87.17","87.66","86.60","4.27M","-0.02%"
"12/31/2025","87.20","87.44","87.63","87.17","3.23M","-0.42%"
"12/30/2025","87.57","87.60","87.82","87.17","2.98M","0.03%"
"12/29/2025","87.54","87.30","88.17","87.25","3.49M","0.42%"
"12/26/2025","87.17","86.92","87.63","86.78","2.31M","0.00%"
"12/24/2025","87.17","86.53","87.20","86.38","1.62M","0.90%"
"12/23/2025","86.39","85.71","86.79","85.60","4.32M","0.78%"
"12/22/2025","85.72","85.28","85.81","84.84","5.25M","0.52%"
"12/19/2025","85.28","86.75","86.92","85.23","11.30M","-2.22%"
"12/18/2025","87.22","87.16","87.46","86.71","5.55M","0.22%"
"12/17/2025","87.03","85.62","87.58","85.60","9.00M","1.54%"
"12/16/2025","85.71","85.40","85.98","85.00","6.58M","-0.34%"
"12/15/2025","86.00","84.82","86.16","84.51","6.83M","1.85%"
"12/12/2025","84.44","84.49","85.15","84.26","4.80M","-0.34%"
"12/11/2025","84.73","84.89","85.47","84.26","6.26M","0.77%"
"12/10/2025","84.08","85.18","85.38","83.80","8.53M","-1.65%"
"12/09/2025","85.49","86.00","86.36","85.43","6.83M","-0.08%"
"12/08/2025","85.56","86.22","86.40","85.47","6.73M","-0.83%"
"12/05/2025","86.28","87.44","88.09","86.15","7.26M","-1.20%"
"12/04/2025","87.33","87.74","88.62","86.96","7.65M","-0.74%"
"12/03/2025","87.98","89.23","90.34","87.07","10.93M","-1.19%"
"12/02/2025","89.04","89.29","89.30","88.32","5.83M","0.03%"
"12/01/2025","89.01","90.62","90.75","88.99","5.75M","-2.32%"
"11/28/2025","91.12","90.39","91.12","90.26","2.55M","0.98%"
"11/26/2025","90.24","89.74","90.40","89.54","3.49M","1.06%"
"11/25/2025","89.29","89.00","89.53","88.62","5.36M","0.17%"
"11/24/2025","89.14","89.59","89.72","88.20","6.05M","-0.15%"
"11/21/2025","89.27","88.69","90.06","88.50","6.44M","0.79%"
"11/20/2025","88.57","89.23","89.50","88.43","7.95M","-0.54%"
"11/19/2025","89.05","90.78","90.81","88.89","5.01M","-1.81%"
"11/18/2025","90.69","91.04","91.41","90.53","4.99M","0.12%"
"11/17/2025","90.58","90.49","90.97","90.14","5.71M","-0.12%"
"11/14/2025","90.69","91.30","91.62","90.30","4.61M","-0.53%"
"11/13/2025","91.17","92.00","92.38","91.08","5.70M","-0.78%"
"11/12/2025","91.89","91.17","92.02","90.88","5.59M","0.82%"
"11/11/2025","91.14","90.91","91.44","90.55","3.89M","0.42%"
"11/10/2025","90.76","91.17","91.35","89.96","6.18M","-0.74%"
"11/07/2025","91.44","91.16","91.91","90.86","4.77M","0.59%"
"11/06/2025","90.90","91.00","92.05","90.86","4.92M","-0.56%"
"11/05/2025","91.41","91.32","92.23","90.50","12.55M","-1.42%"
"11/04/2025","92.73","93.15","93.51","92.41","12.29M","-0.45%"
"11/03/2025","93.15","93.57","95.09","92.18","14.02M","-0.95%"
"10/31/2025","94.04","94.48","94.68","93.60","5.43M","-1.08%"
"10/30/2025","95.07","93.06","95.52","93.06","7.42M","1.67%"
"10/29/2025","93.51","93.57","94.39","92.85","6.43M","-0.43%"
"10/28/2025","93.91","95.10","95.24","93.32","6.01M","-1.56%"
"10/27/2025","95.40","95.70","95.70","94.78","4.02M","-0.50%"
"10/24/2025","95.88","96.26","96.61","95.83","4.35M","-0.28%"
"10/23/2025","96.15","97.87","98.00","96.12","3.19M","-1.36%"
