"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","186.80","184.93","187.31","183.74","335.44K","1.65%"
"01/28/2026","183.76","184.75","185.74","183.36","1.33M","-0.43%"
"01/27/2026","184.56","185.48","185.77","183.16","1.02M","-0.42%"
"01/26/2026","185.33","185.19","185.99","183.73","976.94K","0.32%"
"01/23/2026","184.73","184.57","185.76","183.60","833.51K","-0.20%"
"01/22/2026","185.10","184.91","187.93","183.87","1.44M","-0.04%"
"01/21/2026","185.17","185.79","186.46","184.55","2.35M","0.46%"
"01/20/2026","184.32","185.86","185.86","183.30","3.05M","-0.32%"
"01/16/2026","184.92","181.59","185.10","180.17","1.71M","1.43%"
"01/15/2026","182.31","186.95","186.95","181.35","2.10M","-1.84%"
"01/14/2026","185.72","184.17","186.08","182.26","1.89M","0.73%"
"01/13/2026","184.38","184.85","185.92","182.77","1.37M","-0.24%"
"01/12/2026","184.83","184.21","185.12","183.11","1.34M","0.08%"
"01/09/2026","184.69","184.72","186.02","184.13","1.17M","-0.16%"
"01/08/2026","184.98","183.36","187.44","183.36","1.63M","0.56%"
"01/07/2026","183.95","186.65","187.70","183.91","1.20M","-1.26%"
"01/06/2026","186.30","182.15","186.96","182.00","1.20M","1.74%"
"01/05/2026","183.11","183.06","185.20","183.06","1.48M","-0.47%"
"01/02/2026","183.97","184.47","185.86","182.88","987.62K","-0.62%"
"12/31/2025","185.11","186.67","187.00","185.05","1.10M","-0.92%"
"12/30/2025","186.83","187.41","187.95","186.24","768.46K","-0.42%"
"12/29/2025","187.62","188.53","188.71","187.09","746.52K","-0.05%"
"12/26/2025","187.71","188.32","188.91","186.40","492.02K","-0.31%"
"12/24/2025","188.29","188.16","189.05","187.89","437.17K","0.37%"
"12/23/2025","187.60","186.55","187.74","185.77","937.94K","0.50%"
"12/22/2025","186.66","184.17","186.97","183.63","1.16M","0.94%"
"12/19/2025","184.93","185.03","185.52","183.95","4.49M","-0.08%"
"12/18/2025","185.07","184.99","187.08","183.55","1.14M","0.46%"
"12/17/2025","184.22","182.98","184.85","182.40","1.44M","0.93%"
"12/16/2025","182.53","184.71","184.86","182.25","1.58M","-0.89%"
"12/15/2025","184.17","182.65","184.36","182.26","1.50M","1.18%"
"12/12/2025","182.02","182.54","183.44","181.64","1.24M","0.09%"
"12/11/2025","181.85","182.30","183.00","181.15","1.45M","0.11%"
"12/10/2025","181.65","179.33","183.20","179.26","2.04M","0.33%"
"12/09/2025","181.05","180.52","182.36","180.46","1.52M","0.54%"
"12/08/2025","180.07","182.25","183.13","179.95","1.84M","-1.36%"
"12/05/2025","182.56","182.69","183.72","182.15","1.64M","-0.41%"
"12/04/2025","183.32","182.22","183.91","182.17","1.29M","0.56%"
"12/03/2025","182.30","182.50","183.63","182.27","1.79M","0.07%"
"12/02/2025","182.17","185.57","185.87","181.35","1.24M","-1.60%"
"12/01/2025","185.14","185.00","186.25","184.65","1.07M","-0.63%"
"11/28/2025","186.32","185.06","187.20","184.42","506.31K","0.41%"
"11/26/2025","185.56","184.58","186.91","184.58","1.18M","0.23%"
"11/25/2025","185.13","183.43","186.70","183.18","1.37M","1.35%"
"11/24/2025","182.66","183.08","183.49","181.46","1.43M","-0.23%"
"11/21/2025","183.08","180.70","183.47","180.31","1.33M","1.67%"
"11/20/2025","180.07","182.70","184.13","179.92","1.18M","-0.03%"
"11/19/2025","180.13","182.12","182.59","180.10","1.13M","-0.99%"
"11/18/2025","181.93","180.27","182.16","179.78","945.55K","0.52%"
"11/17/2025","180.99","183.63","183.63","179.86","1.42M","-0.95%"
"11/14/2025","182.73","183.83","184.07","181.48","792.12K","-0.48%"
"11/13/2025","183.61","183.00","185.14","182.78","1.47M","-0.11%"
"11/12/2025","183.81","184.34","185.37","183.77","1.48M","-0.64%"
"11/11/2025","185.00","183.86","185.68","183.86","1.25M","1.13%"
"11/10/2025","182.94","184.38","184.82","182.30","1.28M","-0.36%"
"11/07/2025","183.60","181.45","183.69","180.70","1.04M","1.58%"
"11/06/2025","180.74","181.54","182.56","179.79","1.10M","-0.36%"
"11/05/2025","181.40","182.86","184.13","181.35","1.81M","-0.65%"
"11/04/2025","182.59","178.05","185.01","178.05","2.38M","3.35%"
"11/03/2025","176.67","174.46","177.70","173.80","1.97M","0.52%"
"10/31/2025","175.76","173.57","176.46","172.19","1.91M","1.39%"
"10/30/2025","173.35","174.02","175.66","173.12","1.57M","-0.17%"
"10/29/2025","173.64","175.69","176.57","172.39","2.29M","-1.77%"
"10/28/2025","176.77","179.35","179.35","176.61","962.41K","-1.67%"
"10/27/2025","179.78","178.53","179.95","177.71","1.01M","0.95%"
"10/24/2025","178.09","179.51","179.84","178.05","1.23M","-0.35%"
"10/23/2025","178.71","179.90","180.61","178.00","1.17M","-0.71%"
"10/22/2025","179.98","180.02","181.06","178.82","919.79K","0.71%"
"10/21/2025","178.72","178.65","180.67","178.07","1.07M","0.14%"
"10/20/2025","178.47","178.63","179.44","177.17","685.35K","0.21%"
"10/17/2025","178.09","176.43","178.74","176.36","1.05M","0.76%"
"10/16/2025","176.74","178.56","179.35","176.07","1.07M","-0.91%"
"10/15/2025","178.36","176.73","179.17","176.63","1.41M","1.44%"
"10/14/2025","175.83","176.24","176.54","174.65","1.53M","-0.38%"
"10/13/2025","176.50","176.48","177.68","175.55","1.12M","0.68%"
"10/10/2025","175.30","179.61","180.25","175.29","1.62M","-1.98%"
"10/09/2025","178.84","178.72","179.29","177.48","923.28K","0.34%"
"10/08/2025","178.23","177.83","178.36","176.94","1.32M","-0.39%"
"10/07/2025","178.92","179.24","179.72","177.33","1.60M","-0.14%"
"10/06/2025","179.17","184.44","185.25","179.15","1.57M","-3.27%"
"10/03/2025","185.23","185.19","187.25","184.68","1.15M","0.12%"
"10/02/2025","185.01","185.76","185.79","183.88","1.49M","-0.40%"
"10/01/2025","185.76","187.66","188.43","184.40","1.84M","-1.02%"
"09/30/2025","187.67","186.17","188.13","185.30","1.81M","0.98%"
"09/29/2025","185.85","185.47","186.34","184.82","1.28M","0.25%"
"09/26/2025","185.39","182.82","185.88","182.22","1.37M","1.52%"
"09/25/2025","182.61","183.09","183.78","182.48","1.30M","-0.28%"
"09/24/2025","183.13","184.07","184.68","182.48","1.53M","-0.54%"
"09/23/2025","184.13","180.72","184.67","180.62","1.39M","1.65%"
"09/22/2025","181.14","179.74","181.43","178.39","1.40M","0.23%"
"09/19/2025","180.72","180.36","182.30","180.04","7.08M","0.35%"
"09/18/2025","180.09","182.00","182.84","178.68","1.90M","-0.81%"
"09/17/2025","181.56","181.54","184.15","180.67","1.71M","0.02%"
"09/16/2025","181.52","183.28","184.07","181.24","1.35M","-1.22%"
"09/15/2025","183.76","182.21","184.24","181.25","1.57M","0.71%"
"09/12/2025","182.47","183.90","184.50","182.10","1.55M","-0.78%"
"09/11/2025","183.90","179.99","184.16","179.66","1.79M","2.61%"
"09/10/2025","179.23","178.91","179.87","177.99","2.22M","-0.09%"
"09/09/2025","179.39","179.45","180.38","178.15","1.89M","-1.73%"
"09/08/2025","182.55","181.77","182.93","180.11","2.37M","0.16%"
"09/05/2025","182.25","182.80","184.78","180.81","1.83M","0.40%"
"09/04/2025","181.52","180.82","181.92","179.70","2.10M","0.92%"
"09/03/2025","179.86","178.66","180.25","177.84","1.59M","0.55%"
"09/02/2025","178.87","177.47","179.22","177.01","2.83M","-0.99%"
"08/29/2025","180.66","180.00","180.98","179.42","1.72M","0.72%"
"08/28/2025","179.36","179.00","179.54","177.08","1.44M","0.67%"
"08/27/2025","178.17","176.62","178.62","176.40","1.75M","0.76%"
"08/26/2025","176.83","176.37","177.80","176.00","2.02M","0.24%"
"08/25/2025","176.41","176.58","177.43","175.94","1.41M","-0.08%"
"08/22/2025","176.56","174.96","177.90","174.08","1.31M","1.80%"
"08/21/2025","173.43","173.17","174.19","172.45","810.93K","-0.40%"
"08/20/2025","174.13","175.15","175.50","173.47","1.02M","-0.43%"
"08/19/2025","174.88","172.59","176.14","172.09","1.91M","1.34%"
"08/18/2025","172.56","173.39","174.11","172.29","1.19M","-0.42%"
"08/15/2025","173.28","172.44","173.40","171.22","1.58M","0.63%"
"08/14/2025","172.19","171.45","172.53","170.49","1.89M","-0.23%"
"08/13/2025","172.59","169.29","172.88","169.11","1.66M","1.99%"
"08/12/2025","169.22","166.03","169.42","165.37","1.24M","2.43%"
"08/11/2025","165.20","164.51","165.62","163.29","1.19M","0.16%"
"08/08/2025","164.93","166.34","167.21","164.81","1.11M","-0.85%"
"08/07/2025","166.35","168.79","168.88","165.10","1.40M","-0.70%"
"08/06/2025","167.53","170.00","171.57","167.30","1.84M","-1.05%"
"08/05/2025","169.31","159.99","169.55","159.99","2.65M","3.28%"
"08/04/2025","163.94","161.31","165.22","160.50","1.85M","2.03%"
"08/01/2025","160.68","162.95","163.35","159.70","2.15M","-1.90%"
"07/31/2025","163.79","164.25","166.00","163.43","1.74M","-1.01%"
"07/30/2025","165.46","168.35","168.72","164.34","1.09M","-1.56%"
"07/29/2025","168.08","166.88","168.16","166.10","1.13M","1.69%"
"07/28/2025","165.28","166.78","167.52","165.10","1.09M","-1.10%"
"07/25/2025","167.11","165.53","167.21","164.27","1.37M","1.30%"
"07/24/2025","164.96","165.35","166.91","164.80","1.34M","-0.47%"
"07/23/2025","165.74","166.36","166.77","165.11","1.04M","0.10%"
"07/22/2025","165.57","163.72","165.86","163.42","1.65M","1.11%"
"07/21/2025","163.76","163.09","164.88","162.41","1.50M","0.55%"
"07/18/2025","162.86","162.90","163.81","162.05","950.79K","0.08%"
"07/17/2025","162.73","161.69","163.18","161.35","1.05M","0.78%"
