"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","24.70","24.47","25.08","24.43","33.34M","2.64%"
"01/28/2026","24.07","23.42","24.33","23.36","84.12M","4.65%"
"01/27/2026","23.00","23.50","23.50","22.95","72.16M","-1.92%"
"01/26/2026","23.45","23.70","23.80","23.36","44.38M","-0.59%"
"01/23/2026","23.59","23.50","23.65","23.30","36.06M","0.04%"
"01/22/2026","23.58","23.57","23.83","23.50","30.39M","0.34%"
"01/21/2026","23.50","23.47","23.79","23.47","40.67M","0.21%"
"01/20/2026","23.45","23.37","23.60","23.27","51.78M","-0.17%"
"01/16/2026","23.49","23.66","23.66","23.39","46.50M","-1.01%"
"01/15/2026","23.73","23.61","23.80","23.50","35.92M","0.51%"
"01/14/2026","23.61","23.33","23.72","23.33","51.41M","1.33%"
"01/13/2026","23.30","23.69","23.75","23.19","40.89M","-1.85%"
"01/12/2026","23.74","23.76","23.90","23.62","40.70M","-1.04%"
"01/09/2026","23.99","24.15","24.32","23.98","30.81M","-0.74%"
"01/08/2026","24.17","23.99","24.32","23.98","43.77M","0.83%"
"01/07/2026","23.97","24.44","24.55","23.90","47.00M","-1.52%"
"01/06/2026","24.34","24.51","24.53","23.87","59.97M","-1.50%"
"01/05/2026","24.71","24.41","24.75","24.37","48.96M","0.61%"
"01/02/2026","24.56","24.79","24.81","24.50","28.72M","-1.13%"
"12/31/2025","24.84","24.79","24.97","24.78","22.91M","0.12%"
"12/30/2025","24.81","24.77","24.86","24.73","21.05M","0.16%"
"12/29/2025","24.77","24.68","24.94","24.68","30.32M","0.49%"
"12/26/2025","24.65","24.61","24.76","24.59","16.07M","-0.04%"
"12/24/2025","24.66","24.37","24.71","24.37","13.90M","0.82%"
"12/23/2025","24.46","24.27","24.53","24.26","20.87M","0.66%"
"12/22/2025","24.30","24.15","24.45","24.09","29.05M","0.62%"
"12/19/2025","24.15","24.21","24.28","24.02","89.82M","-0.45%"
"12/18/2025","24.26","24.31","24.55","24.23","31.04M","-0.41%"
"12/17/2025","24.36","24.10","24.45","24.08","39.46M","1.20%"
"12/16/2025","24.07","24.36","24.39","24.01","35.70M","-0.99%"
"12/15/2025","24.31","24.49","24.63","24.22","37.16M","-1.10%"
"12/12/2025","24.58","24.39","24.81","24.26","34.21M","1.15%"
"12/11/2025","24.30","24.46","24.71","24.27","38.93M","-0.37%"
"12/10/2025","24.39","24.56","24.60","24.27","48.96M","-0.49%"
"12/09/2025","24.51","24.84","24.99","24.36","41.50M","-1.33%"
"12/08/2025","24.84","25.34","25.34","24.69","41.48M","-1.74%"
"12/05/2025","25.28","25.36","25.64","25.25","28.08M","-0.43%"
"12/04/2025","25.39","25.37","25.56","25.23","33.04M","0.28%"
"12/03/2025","25.32","25.56","25.82","25.31","29.14M","-0.78%"
"12/02/2025","25.52","25.83","25.87","25.45","30.84M","-1.05%"
"12/01/2025","25.79","25.95","25.97","25.55","34.68M","-0.88%"
"11/28/2025","26.02","25.82","26.02","25.76","16.35M","0.77%"
"11/26/2025","25.82","25.83","26.07","25.80","27.71M","-0.15%"
"11/25/2025","25.86","25.76","26.20","25.75","44.34M","0.94%"
"11/24/2025","25.62","25.99","26.01","25.43","66.61M","-1.20%"
"11/21/2025","25.93","25.51","26.18","25.50","59.02M","1.61%"
"11/20/2025","25.52","25.25","25.63","25.12","44.63M","0.99%"
"11/19/2025","25.27","25.60","25.67","25.09","34.30M","-1.29%"
"11/18/2025","25.60","25.54","25.77","25.34","41.53M","0.51%"
"11/17/2025","25.47","25.63","25.71","25.43","34.52M","-0.47%"
"11/14/2025","25.59","25.87","25.93","25.44","37.39M","-0.62%"
"11/13/2025","25.75","25.65","25.96","25.56","49.79M","0.39%"
"11/12/2025","25.65","25.44","25.73","25.41","44.10M","1.87%"
"11/11/2025","25.18","24.93","25.30","24.88","40.96M","1.41%"
"11/10/2025","24.83","24.74","24.94","24.61","52.68M","0.00%"
"11/07/2025","24.83","24.81","25.10","24.64","62.44M","0.36%"
"11/06/2025","24.74","24.29","24.99","24.29","71.67M","0.73%"
"11/05/2025","24.56","24.46","24.73","24.43","61.11M","0.49%"
"11/04/2025","24.44","24.47","24.56","24.29","75.03M","-0.37%"
"11/03/2025","24.53","24.64","24.64","24.08","89.33M","-0.89%"
"10/31/2025","24.75","24.63","24.99","24.51","89.94M","0.28%"
"10/30/2025","24.68","24.99","25.17","24.61","82.17M","-1.83%"
"10/29/2025","25.14","26.12","26.21","24.99","102.72M","-2.18%"
"10/28/2025","25.70","25.41","25.78","25.31","77.66M","0.67%"
"10/27/2025","25.53","25.08","25.57","24.97","86.22M","1.55%"
"10/24/2025","25.14","24.64","25.19","24.57","80.55M","2.11%"
