"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","103.06","102.41","103.27","101.32","1.93M","1.30%"
"01/28/2026","101.74","102.41","104.18","100.88","4.64M","-2.27%"
"01/27/2026","104.10","104.35","104.82","103.19","4.58M","0.13%"
"01/26/2026","103.96","108.03","108.49","103.61","6.71M","-3.83%"
"01/23/2026","108.10","106.36","108.33","106.10","4.59M","1.50%"
"01/22/2026","106.50","106.58","106.81","104.80","4.90M","0.43%"
"01/21/2026","106.04","108.61","110.25","104.89","6.55M","-3.02%"
"01/20/2026","109.34","110.02","110.66","107.43","9.56M","-1.74%"
"01/16/2026","111.28","110.84","111.75","110.18","5.25M","0.13%"
"01/15/2026","111.13","110.07","111.86","108.40","5.83M","1.19%"
"01/14/2026","109.82","108.57","110.64","108.18","5.89M","1.10%"
"01/13/2026","108.63","108.50","109.95","107.96","7.74M","2.35%"
"01/12/2026","106.14","105.58","106.85","103.16","5.89M","0.59%"
"01/09/2026","105.52","105.63","107.30","104.14","6.49M","-0.76%"
"01/08/2026","106.33","103.13","108.64","102.68","8.57M","2.57%"
"01/07/2026","103.67","104.30","104.66","102.49","4.69M","-0.60%"
"01/06/2026","104.30","102.10","104.85","101.59","7.70M","2.15%"
"01/05/2026","102.10","100.40","103.26","99.90","7.42M","1.58%"
"01/02/2026","100.51","97.91","101.00","97.07","7.06M","2.82%"
"12/31/2025","97.75","97.41","98.44","97.20","4.29M","0.33%"
"12/30/2025","97.43","97.88","97.99","97.06","3.69M","-0.68%"
"12/29/2025","98.10","99.46","100.24","97.71","8.84M","-1.46%"
"12/26/2025","99.55","96.58","103.03","96.54","10.64M","3.13%"
"12/24/2025","96.53","94.61","96.60","94.18","3.30M","2.36%"
"12/23/2025","94.30","95.25","95.38","93.77","7.98M","-0.95%"
"12/22/2025","95.20","97.95","98.34","94.78","11.99M","-2.87%"
"12/19/2025","98.01","98.90","99.45","96.54","12.62M","-1.05%"
"12/18/2025","99.05","98.60","101.99","98.56","9.59M","0.46%"
"12/17/2025","98.60","97.00","98.61","95.14","6.83M","0.95%"
"12/16/2025","97.67","97.89","98.52","97.05","5.14M","0.11%"
"12/15/2025","97.56","97.56","97.93","96.31","5.73M","0.48%"
"12/12/2025","97.09","97.25","98.20","96.25","5.26M","0.12%"
"12/11/2025","96.97","94.78","97.18","94.78","6.81M","2.48%"
"12/10/2025","94.62","93.87","95.40","92.94","8.44M","1.07%"
"12/09/2025","93.62","92.51","93.98","92.31","4.65M","0.60%"
"12/08/2025","93.06","92.61","93.71","90.90","7.69M","0.94%"
"12/05/2025","92.19","91.55","92.69","90.85","5.90M","0.66%"
"12/04/2025","91.59","91.17","92.20","90.17","6.76M","0.74%"
"12/03/2025","90.92","90.67","92.91","90.60","7.31M","0.50%"
"12/02/2025","90.47","91.75","91.75","89.36","5.86M","-0.97%"
"12/01/2025","91.36","90.40","93.11","90.14","6.57M","0.82%"
"11/28/2025","90.62","90.28","91.70","89.87","4.06M","0.91%"
"11/26/2025","89.80","86.68","90.23","86.61","7.93M","3.72%"
"11/25/2025","86.58","84.99","86.63","84.72","6.52M","2.41%"
"11/24/2025","84.54","87.63","87.98","84.52","9.23M","-3.52%"
"11/21/2025","87.62","84.44","88.98","84.24","12.57M","4.71%"
"11/20/2025","83.68","86.16","86.93","83.44","12.05M","-2.79%"
"11/19/2025","86.08","86.42","89.62","85.30","18.97M","-2.77%"
"11/18/2025","88.53","87.84","90.02","87.62","10.06M","0.06%"
"11/17/2025","88.48","89.52","90.26","88.23","7.55M","-1.58%"
"11/14/2025","89.90","89.99","91.11","89.41","6.10M","-0.79%"
"11/13/2025","90.62","91.81","92.61","90.41","6.30M","-1.40%"
"11/12/2025","91.91","91.77","92.60","91.11","5.51M","0.36%"
"11/11/2025","91.58","91.38","92.13","90.94","4.76M","0.94%"
"11/10/2025","90.73","91.82","93.43","89.92","6.30M","-0.56%"
"11/07/2025","91.24","89.15","91.58","89.15","6.52M","2.34%"
"11/06/2025","89.15","91.79","92.71","88.48","7.05M","-3.03%"
"11/05/2025","91.94","89.83","93.26","89.02","8.22M","2.18%"
"11/04/2025","89.98","90.88","91.29","89.75","5.06M","-1.61%"
"11/03/2025","91.45","92.61","92.65","90.90","5.70M","-1.37%"
"10/31/2025","92.72","92.55","93.04","91.51","7.08M","-0.22%"
"10/30/2025","92.92","93.31","94.63","92.66","5.63M","-1.27%"
"10/29/2025","94.12","96.52","97.07","94.03","6.13M","-3.08%"
"10/28/2025","97.11","97.52","99.49","96.41","7.96M","-0.68%"
"10/27/2025","97.77","95.25","97.90","94.95","10.00M","3.72%"
"10/24/2025","94.26","94.86","95.61","93.92","5.46M","0.01%"
"10/23/2025","94.25","94.07","95.03","92.96","4.83M","0.24%"
"10/22/2025","94.02","94.29","94.73","93.45","4.97M","-0.40%"
"10/21/2025","94.40","91.88","94.55","91.74","7.77M","3.14%"
"10/20/2025","91.53","91.08","92.17","91.00","4.89M","0.76%"
"10/17/2025","90.84","90.00","90.96","89.81","6.46M","0.85%"
"10/16/2025","90.07","90.88","91.65","89.12","5.56M","-0.92%"
"10/15/2025","90.91","89.25","91.19","88.91","6.40M","2.19%"
"10/14/2025","88.96","86.53","89.40","86.35","6.35M","1.85%"
"10/13/2025","87.34","86.92","88.35","86.73","10.52M","2.12%"
"10/10/2025","85.53","89.18","89.23","85.36","13.93M","-4.01%"
"10/09/2025","89.10","90.99","90.99","88.62","7.19M","-1.42%"
"10/08/2025","90.38","89.61","90.99","89.54","6.85M","1.24%"
"10/07/2025","89.27","89.18","90.09","88.51","6.35M","0.35%"
"10/06/2025","88.96","89.34","90.17","87.84","8.98M","-0.08%"
"10/03/2025","89.03","89.80","90.37","88.28","6.87M","-0.54%"
"10/02/2025","89.51","88.93","90.28","88.18","7.56M","0.42%"
"10/01/2025","89.14","89.48","89.50","87.26","10.38M","-0.62%"
"09/30/2025","89.70","88.50","90.21","87.25","16.87M","0.98%"
"09/29/2025","88.83","88.36","88.83","87.31","7.96M","1.12%"
"09/26/2025","87.85","86.84","88.59","86.84","7.58M","0.81%"
"09/25/2025","87.14","87.81","88.00","86.53","8.57M","-1.32%"
"09/24/2025","88.31","87.21","88.34","86.87","10.69M","1.45%"
"09/23/2025","87.05","86.89","87.88","86.73","8.08M","0.57%"
"09/22/2025","86.56","88.02","88.07","86.30","12.45M","-1.78%"
"09/19/2025","88.13","89.55","89.74","87.81","13.32M","-1.44%"
"09/18/2025","89.42","88.71","89.53","88.16","8.78M","0.55%"
"09/17/2025","88.93","89.84","90.81","88.74","9.40M","-0.88%"
"09/16/2025","89.72","88.93","89.79","88.57","6.74M","1.31%"
"09/15/2025","88.56","90.10","90.19","88.44","9.31M","-1.56%"
"09/12/2025","89.96","91.30","91.42","89.96","6.18M","-1.70%"
"09/11/2025","91.52","90.87","92.25","90.79","9.49M","0.82%"
"09/10/2025","90.78","90.77","91.40","90.04","5.75M","-0.14%"
"09/09/2025","90.91","91.49","91.86","90.22","7.56M","-0.64%"
"09/08/2025","91.50","93.21","93.44","91.33","9.26M","-1.79%"
"09/05/2025","93.17","92.78","93.95","92.45","4.89M","0.50%"
"09/04/2025","92.71","92.74","93.29","92.28","5.90M","0.39%"
"09/03/2025","92.35","92.50","92.86","91.69","8.49M","-0.10%"
"09/02/2025","92.44","95.13","95.36","91.92","12.99M","-3.69%"
"08/29/2025","95.98","97.10","97.22","95.67","5.37M","-0.86%"
"08/28/2025","96.81","98.52","98.79","96.34","5.15M","-1.17%"
"08/27/2025","97.96","96.34","98.17","96.32","6.49M","1.92%"
"08/26/2025","96.11","96.80","96.99","95.83","6.40M","-1.05%"
"08/25/2025","97.13","98.50","98.84","96.60","7.65M","-2.13%"
"08/22/2025","99.24","97.58","101.34","97.36","13.66M","2.25%"
"08/21/2025","97.06","98.49","98.50","96.13","11.42M","-1.65%"
"08/20/2025","98.69","94.40","99.56","94.15","33.17M","-6.33%"
"08/19/2025","105.36","105.80","107.26","104.44","8.82M","0.39%"
"08/18/2025","104.95","104.00","106.23","103.66","6.90M","1.87%"
"08/15/2025","103.02","102.30","104.44","101.95","6.31M","-1.18%"
"08/14/2025","104.25","103.85","104.31","102.58","4.99M","-1.05%"
"08/13/2025","105.36","103.81","105.67","102.33","7.36M","-0.85%"
"08/12/2025","106.26","104.90","107.82","104.25","6.60M","2.16%"
"08/11/2025","104.01","105.40","106.58","103.65","5.02M","-1.32%"
"08/08/2025","105.40","105.81","106.25","104.79","3.49M","-0.26%"
"08/07/2025","105.67","106.50","106.93","104.12","4.19M","0.27%"
"08/06/2025","105.39","103.47","106.36","102.97","6.31M","2.89%"
"08/05/2025","102.43","100.06","102.96","99.78","5.09M","2.65%"
"08/04/2025","99.79","100.01","101.06","99.60","5.31M","0.02%"
"08/01/2025","99.77","99.52","100.31","98.44","5.02M","-0.73%"
"07/31/2025","100.50","102.35","102.63","100.36","6.44M","-2.56%"
"07/30/2025","103.14","104.71","105.00","102.34","4.53M","-1.00%"
"07/29/2025","104.18","106.12","106.29","103.92","4.75M","-2.11%"
"07/28/2025","106.43","106.22","106.79","105.25","3.86M","0.36%"
"07/25/2025","106.05","106.76","107.02","105.15","3.48M","0.22%"
"07/24/2025","105.82","107.22","108.43","105.44","5.42M","-1.50%"
"07/23/2025","107.43","107.50","108.90","106.80","5.91M","0.84%"
"07/22/2025","106.54","102.75","106.91","102.45","6.47M","4.75%"
"07/21/2025","101.71","102.11","103.66","101.68","4.48M","-1.69%"
"07/18/2025","103.46","103.96","104.28","102.14","5.28M","-0.18%"
"07/17/2025","103.65","101.59","103.94","101.59","4.53M","2.28%"
"07/16/2025","101.34","102.67","103.41","100.36","3.86M","-0.85%"
"07/15/2025","102.21","105.00","105.50","102.19","5.29M","-2.54%"
"07/14/2025","104.87","104.00","105.00","103.19","4.47M","0.60%"
"07/11/2025","104.24","104.31","105.04","103.19","3.87M","-0.48%"
"07/10/2025","104.74","102.92","106.37","102.62","5.12M","2.26%"
"07/09/2025","102.43","102.51","103.33","101.79","4.31M","0.41%"
"07/08/2025","102.01","101.72","102.47","100.58","6.10M","0.40%"
"07/07/2025","101.60","103.00","103.41","100.74","5.68M","-2.36%"
"07/03/2025","104.06","105.95","105.97","104.05","3.54M","-1.32%"
"07/02/2025","105.45","104.29","105.71","103.32","6.33M","1.54%"
"07/01/2025","103.85","98.33","105.34","98.32","9.97M","5.27%"
"06/30/2025","98.65","99.60","99.66","98.14","4.93M","-0.58%"
"06/27/2025","99.23","98.26","100.26","98.11","6.39M","1.67%"
"06/26/2025","97.60","96.98","97.83","96.39","5.33M","0.93%"
"06/25/2025","96.70","97.50","97.81","95.99","4.37M","-0.85%"
"06/24/2025","97.53","97.25","98.14","96.54","6.41M","1.04%"
"06/23/2025","96.53","94.62","96.64","94.17","6.89M","1.04%"
"06/20/2025","95.54","95.69","96.58","94.40","9.62M","0.44%"
"06/18/2025","95.12","95.22","96.71","94.83","6.41M","0.11%"
"06/17/2025","95.02","96.67","96.84","94.86","7.20M","-2.41%"
"06/16/2025","97.37","96.19","97.53","95.47","7.43M","2.10%"
"06/13/2025","95.37","98.00","99.25","94.78","7.30M","-3.95%"
"06/12/2025","99.29","97.65","99.49","97.03","5.32M","1.20%"
"06/11/2025","98.11","100.82","101.09","97.75","6.80M","-2.64%"
"06/10/2025","100.77","97.72","102.37","97.65","9.61M","3.51%"
"06/09/2025","97.35","98.31","99.36","97.31","6.30M","0.03%"
"06/06/2025","97.32","94.52","97.36","94.45","7.82M","4.06%"
"06/05/2025","93.52","94.24","94.96","93.09","4.76M","-0.45%"
"06/04/2025","93.94","95.63","96.05","93.93","4.42M","-1.92%"
"06/03/2025","95.78","93.49","96.43","93.06","6.39M","2.64%"
"06/02/2025","93.32","93.41","93.46","92.06","5.75M","-0.73%"
"05/30/2025","94.01","94.04","94.76","93.25","7.87M","-0.91%"
"05/29/2025","94.87","97.77","97.77","94.24","7.04M","-1.12%"
"05/28/2025","95.94","96.99","97.09","95.77","4.48M","-1.08%"
"05/27/2025","96.99","95.56","97.13","94.88","6.50M","2.86%"
"05/23/2025","94.29","93.14","95.18","93.14","7.37M","-0.81%"
"05/22/2025","95.06","92.17","95.82","92.05","11.43M","2.20%"
"05/21/2025","93.01","91.50","95.31","90.60","27.06M","-5.21%"
"05/20/2025","98.12","98.00","99.33","97.35","10.16M","0.13%"
"05/19/2025","97.99","96.76","98.44","96.05","8.47M","-0.60%"
"05/16/2025","98.58","97.76","99.14","97.40","6.37M","1.56%"
"05/15/2025","97.07","94.30","97.50","93.71","8.35M","1.90%"
"05/14/2025","95.26","97.05","97.25","94.81","10.29M","-3.87%"
"05/13/2025","99.09","100.88","100.88","98.47","7.77M","-1.97%"
"05/12/2025","101.08","100.93","103.00","99.03","9.67M","4.85%"
"05/09/2025","96.40","96.94","97.84","96.09","4.61M","-0.55%"
"05/08/2025","96.93","96.95","98.38","96.24","5.01M","1.51%"
"05/07/2025","95.49","94.12","96.13","93.95","5.73M","1.96%"
