"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","594.74","584.77","596.35","573.11","2.14M","-2.18%"
"01/28/2026","608.02","618.64","620.60","606.32","2.34M","-2.55%"
"01/27/2026","623.91","621.62","629.32","618.00","1.64M","-0.43%"
"01/26/2026","626.62","625.34","633.65","623.23","1.76M","0.10%"
"01/23/2026","625.98","637.68","639.20","622.68","2.85M","-2.11%"
"01/22/2026","639.45","637.39","643.99","634.81","2.62M","0.50%"
"01/21/2026","636.30","622.29","637.98","620.27","3.18M","2.79%"
"01/20/2026","619.01","609.50","620.85","606.00","3.11M","0.05%"
"01/16/2026","618.72","624.09","629.73","618.71","2.88M","-0.95%"
"01/15/2026","624.65","619.97","629.87","618.61","2.54M","0.45%"
"01/14/2026","621.83","608.63","622.72","607.10","2.46M","2.43%"
"01/13/2026","607.08","613.32","620.22","594.30","2.85M","-1.36%"
"01/12/2026","615.45","620.98","624.79","606.61","3.18M","-0.55%"
"01/09/2026","618.86","608.61","622.40","604.55","2.29M","2.04%"
"01/08/2026","606.50","612.86","623.36","603.99","3.15M","-1.73%"
"01/07/2026","617.15","618.70","626.77","614.72","2.40M","-0.58%"
"01/06/2026","620.72","606.06","628.08","606.06","2.55M","1.56%"
"01/05/2026","611.20","593.77","611.45","592.51","2.49M","3.15%"
"01/02/2026","592.51","579.50","593.71","577.00","2.05M","2.25%"
"12/31/2025","579.45","583.71","585.61","579.00","739.32K","-0.69%"
"12/30/2025","583.45","582.25","584.45","579.84","665.01K","-0.28%"
"12/29/2025","585.07","580.12","585.30","580.12","1.04M","0.75%"
"12/26/2025","580.74","578.80","581.17","576.85","466.14K","0.28%"
"12/25/2025","579.12","578.62","579.12","579.12","401.03K","0.00%"
"12/24/2025","579.12","578.62","579.81","576.33","401.03K","-0.14%"
"12/23/2025","579.94","575.39","580.56","573.70","732.03K","0.74%"
"12/22/2025","575.70","568.83","576.15","565.75","1.11M","1.39%"
"12/19/2025","567.83","561.68","569.87","558.93","3.86M","0.97%"
"12/18/2025","562.39","562.45","569.41","554.53","2.29M","-0.03%"
"12/17/2025","562.56","567.54","572.99","561.49","2.30M","-1.33%"
"12/16/2025","570.16","570.84","574.85","561.00","2.02M","-1.00%"
"12/15/2025","575.91","574.23","576.34","565.67","1.70M","0.63%"
"12/12/2025","572.28","577.85","579.06","570.19","1.58M","-1.14%"
"12/11/2025","578.90","576.62","579.08","570.84","1.23M","0.89%"
"12/10/2025","573.81","563.00","574.46","563.00","1.28M","1.91%"
"12/09/2025","563.07","574.00","575.24","561.91","1.42M","-0.90%"
"12/08/2025","568.21","570.80","574.53","566.01","1.41M","-0.80%"
"12/05/2025","572.77","578.00","579.09","569.62","1.87M","-0.43%"
"12/04/2025","575.24","579.03","580.45","560.16","1.96M","-0.90%"
"12/03/2025","580.45","581.29","588.11","580.01","1.19M","0.01%"
"12/02/2025","580.37","581.94","584.45","577.96","1.92M","-0.82%"
"12/01/2025","585.15","594.85","597.68","582.75","1.75M","-0.96%"
"11/28/2025","590.83","589.19","594.00","587.95","745.96K","-0.41%"
"11/26/2025","593.25","593.43","596.55","587.18","2.06M","-0.76%"
"11/25/2025","597.78","582.20","602.32","581.80","1.80M","2.00%"
