"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","188.81","186.25","190.01","186.25","3.38M","1.37%"
"01/28/2026","186.25","185.13","188.13","184.49","7.42M","0.95%"
"01/27/2026","184.49","187.15","187.54","183.26","6.79M","-1.85%"
"01/26/2026","187.96","186.98","188.86","186.65","4.77M","1.04%"
"01/23/2026","186.03","184.49","186.94","183.90","4.83M","0.35%"
"01/22/2026","185.39","183.75","186.31","183.75","6.50M","0.97%"
"01/21/2026","183.60","182.99","184.87","181.36","8.19M","-0.03%"
"01/20/2026","183.65","185.36","186.59","183.34","9.03M","-1.43%"
"01/16/2026","186.32","190.20","190.49","185.18","8.25M","-2.28%"
"01/15/2026","190.66","192.36","192.69","189.16","5.45M","-0.71%"
"01/14/2026","192.02","189.15","192.14","189.00","5.29M","1.24%"
"01/13/2026","189.67","197.22","197.39","188.12","7.65M","-3.97%"
"01/12/2026","197.51","200.34","200.77","196.47","5.27M","-1.52%"
"01/09/2026","200.56","196.48","202.05","196.40","3.83M","1.34%"
"01/08/2026","197.91","196.61","199.54","195.74","5.19M","0.31%"
"01/07/2026","197.29","198.60","199.87","195.62","3.74M","-0.66%"
"01/06/2026","198.60","200.20","200.94","197.16","3.24M","-1.13%"
"01/05/2026","200.86","199.16","202.44","198.43","4.02M","0.64%"
"01/02/2026","199.58","202.25","202.69","199.03","3.83M","-1.70%"
"12/31/2025","203.04","202.50","204.24","202.00","3.24M","-0.37%"
"12/30/2025","203.80","202.07","204.21","201.68","3.04M","0.32%"
"12/29/2025","203.15","201.70","204.18","201.43","4.40M","1.07%"
"12/26/2025","201.00","199.15","201.06","198.74","1.98M","0.99%"
"12/24/2025","199.02","197.65","199.14","197.08","1.31M","0.68%"
"12/23/2025","197.67","195.85","197.96","195.76","4.40M","0.98%"
"12/22/2025","195.76","195.81","197.20","194.71","4.71M","-0.49%"
"12/19/2025","196.73","200.85","201.26","196.11","17.21M","-1.77%"
"12/18/2025","200.27","199.19","202.37","199.19","6.86M","0.45%"
"12/17/2025","199.38","198.01","201.34","197.97","6.27M","0.70%"
"12/16/2025","198.00","196.94","199.68","195.96","5.69M","0.94%"
"12/15/2025","196.16","195.99","197.96","194.30","5.16M","0.51%"
"12/12/2025","195.16","194.24","197.88","194.01","4.64M","-0.09%"
"12/11/2025","195.33","196.65","197.75","194.65","4.63M","0.01%"
"12/10/2025","195.32","202.45","202.71","194.89","8.18M","-2.99%"
"12/09/2025","201.35","205.54","206.15","199.17","6.48M","-1.51%"
"12/08/2025","204.44","209.52","209.70","203.67","4.61M","-2.48%"
"12/05/2025","209.63","208.06","211.63","207.67","3.46M","0.78%"
"12/04/2025","208.01","209.36","210.00","206.71","3.69M","-0.24%"
"12/03/2025","208.51","209.63","211.81","207.28","4.00M","-0.77%"
"12/02/2025","210.13","207.60","210.62","205.80","4.08M","1.69%"
"12/01/2025","206.63","208.97","209.11","205.57","3.03M","-1.14%"
"11/28/2025","209.01","206.73","210.49","206.23","1.63M","1.10%"
"11/26/2025","206.73","205.77","207.40","205.33","4.00M","-0.08%"
"11/25/2025","206.90","207.71","209.80","206.50","6.28M","-0.21%"
"11/24/2025","207.34","208.88","209.25","205.52","8.03M","-1.02%"
"11/21/2025","209.48","208.04","211.36","206.68","6.29M","-0.49%"
"11/20/2025","210.51","211.32","212.32","209.89","5.26M","-0.36%"
"11/19/2025","211.27","212.67","213.26","210.16","3.68M","-0.85%"
"11/18/2025","213.08","216.98","216.98","212.05","5.86M","-1.28%"
"11/17/2025","215.84","215.91","218.33","215.01","7.38M","-0.11%"
"11/14/2025","216.08","217.46","218.18","214.48","4.88M","0.70%"
"11/13/2025","214.57","212.00","216.79","211.61","5.55M","0.89%"
"11/12/2025","212.68","211.71","214.70","210.68","3.55M","0.33%"
"11/11/2025","211.98","208.10","212.21","207.49","5.04M","2.97%"
"11/10/2025","205.87","206.19","207.18","204.47","4.08M","-0.55%"
"11/07/2025","207.00","202.67","208.57","201.58","6.46M","2.98%"
