"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","219.77","216.40","221.63","214.83","6.29M","1.67%"
"01/28/2026","216.17","203.86","216.59","203.72","19.60M","9.94%"
"01/27/2026","196.63","194.69","198.41","194.34","10.75M","0.02%"
"01/26/2026","196.59","193.31","196.84","192.44","9.17M","1.70%"
"01/23/2026","193.31","195.76","196.41","191.13","6.69M","-0.86%"
"01/22/2026","194.99","197.30","199.43","193.68","7.26M","0.30%"
"01/21/2026","194.41","191.45","196.13","191.26","7.27M","2.54%"
"01/20/2026","189.59","190.24","192.43","187.95","9.52M","-1.04%"
"01/16/2026","191.58","190.23","192.47","190.07","6.94M","1.30%"
"01/15/2026","189.12","194.93","196.64","188.77","6.94M","-2.24%"
"01/14/2026","193.45","187.50","193.61","187.44","7.99M","2.61%"
"01/13/2026","188.53","189.28","189.75","187.65","4.13M","-0.29%"
"01/12/2026","189.07","188.85","190.82","188.00","6.50M","-0.65%"
"01/09/2026","190.31","188.80","191.40","187.51","6.02M","0.99%"
"01/08/2026","188.45","182.83","189.07","182.55","6.86M","1.48%"
"01/07/2026","185.71","188.47","190.72","184.49","8.34M","-3.33%"
"01/06/2026","192.10","180.09","192.92","180.09","13.22M","8.43%"
"01/05/2026","177.17","178.02","182.89","176.89","6.75M","-0.20%"
"01/02/2026","177.52","174.96","178.89","174.91","6.13M","2.32%"
"12/31/2025","173.49","175.80","176.18","173.44","3.43M","-1.10%"
"12/30/2025","175.42","175.95","176.47","175.25","3.90M","-0.15%"
"12/29/2025","175.69","176.51","177.65","175.10","4.16M","-0.67%"
"12/26/2025","176.88","177.72","178.52","176.43","3.19M","-0.14%"
"12/24/2025","177.13","177.34","178.02","176.79","1.27M","0.03%"
"12/23/2025","177.08","178.27","178.61","176.68","3.50M","-0.97%"
"12/22/2025","178.82","179.49","179.90","177.97","5.37M","1.44%"
"12/19/2025","176.29","175.72","178.24","175.59","19.09M","0.06%"
"12/18/2025","176.19","176.80","178.90","175.90","8.55M","0.97%"
"12/17/2025","174.49","177.87","179.64","173.69","8.87M","-1.73%"
"12/16/2025","177.56","178.34","179.03","176.00","5.75M","-0.23%"
"12/15/2025","177.97","175.35","179.36","174.00","9.04M","-0.81%"
"12/12/2025","179.42","181.79","183.23","178.65","5.98M","-1.24%"
"12/11/2025","181.67","180.28","182.02","179.18","4.84M","0.00%"
"12/10/2025","181.67","177.83","182.72","177.50","5.27M","1.20%"
"12/09/2025","179.52","179.91","181.88","179.40","3.76M","-0.78%"
"12/08/2025","180.94","183.51","183.70","179.53","6.43M","-0.88%"
"12/05/2025","182.54","180.87","184.76","180.63","6.58M","1.34%"
"12/04/2025","180.12","183.24","183.91","178.94","6.72M","-1.36%"
"12/03/2025","182.60","176.82","183.00","175.58","9.26M","4.19%"
"12/02/2025","175.26","168.71","177.88","168.01","9.44M","4.22%"
"12/01/2025","168.16","166.84","169.66","166.53","6.17M","-0.07%"
"11/28/2025","168.27","166.04","169.25","165.42","4.02M","1.77%"
"11/26/2025","165.35","162.32","167.04","162.05","7.35M","2.21%"
"11/25/2025","161.77","159.72","161.95","158.69","7.41M","0.32%"
"11/24/2025","161.26","159.71","162.70","158.97","9.47M","1.17%"
"11/21/2025","159.40","153.42","161.16","153.41","11.71M","3.96%"
"11/20/2025","153.33","158.16","159.25","152.73","7.89M","-2.39%"
"11/19/2025","157.09","156.57","159.17","155.13","5.57M","-0.15%"
"11/18/2025","157.32","154.55","158.09","153.54","8.16M","1.50%"
"11/17/2025","154.99","158.63","159.75","153.54","7.34M","-2.72%"
"11/14/2025","159.33","160.50","160.88","158.30","6.04M","-1.79%"
"11/13/2025","162.23","162.53","165.43","161.48","7.72M","-0.53%"
"11/12/2025","163.09","160.85","164.53","160.40","6.24M","2.10%"
"11/11/2025","159.73","160.42","162.17","159.24","7.27M","-0.53%"
"11/10/2025","160.58","162.00","163.37","158.49","7.68M","0.02%"
"11/07/2025","160.55","160.38","160.60","156.89","8.84M","-0.51%"
"11/06/2025","161.38","162.75","163.81","161.09","5.86M","-1.34%"
"11/05/2025","163.57","159.39","165.62","159.39","9.77M","2.64%"
"11/04/2025","159.36","161.18","162.30","158.13","11.46M","-1.30%"
"11/03/2025","161.46","162.34","163.45","160.07","5.21M","0.00%"
"10/31/2025","161.46","158.36","162.00","157.80","8.71M","0.59%"
"10/30/2025","160.51","160.15","162.64","159.97","9.48M","0.16%"
"10/29/2025","160.26","166.72","166.72","159.83","11.96M","-3.98%"
"10/28/2025","166.91","169.14","169.51","166.49","9.65M","-1.48%"
"10/27/2025","169.41","169.82","170.37","168.68","8.61M","0.17%"
"10/24/2025","169.13","174.01","174.15","168.79","7.69M","-1.78%"
"10/23/2025","172.19","170.00","173.76","169.75","8.41M","0.87%"
"10/22/2025","170.71","163.96","173.08","163.04","25.83M","-5.60%"
"10/21/2025","180.84","179.47","181.84","178.84","10.30M","0.70%"
"10/20/2025","179.59","172.51","181.11","172.51","6.62M","1.70%"
"10/17/2025","176.58","175.05","177.63","174.57","5.08M","0.63%"
"10/16/2025","175.48","175.39","177.50","174.06","7.19M","0.12%"
"10/15/2025","175.27","174.02","176.16","171.13","9.42M","0.76%"
"10/14/2025","173.94","171.97","176.27","171.45","9.92M","-0.67%"
"10/13/2025","175.11","172.83","176.10","172.40","8.61M","1.99%"
"10/10/2025","171.70","179.62","181.57","171.50","9.63M","-4.06%"
"10/09/2025","178.96","180.49","180.70","177.62","5.01M","-1.45%"
"10/08/2025","181.60","176.83","181.93","176.83","6.38M","2.57%"
"10/07/2025","177.05","181.76","182.01","176.96","5.40M","-2.62%"
"10/06/2025","181.81","181.00","183.23","179.30","6.02M","0.83%"
"10/03/2025","180.32","182.78","185.46","180.15","5.17M","-1.10%"
"10/02/2025","182.32","180.77","184.62","179.84","6.80M","1.07%"
"10/01/2025","180.39","181.97","184.51","178.33","7.70M","-1.82%"
"09/30/2025","183.73","182.74","183.97","181.31","3.87M","0.27%"
"09/29/2025","183.23","185.47","186.10","183.00","5.09M","-0.72%"
"09/26/2025","184.55","185.96","187.29","183.07","6.21M","1.38%"
"09/25/2025","182.04","183.65","183.66","180.11","4.04M","-1.30%"
"09/24/2025","184.43","181.71","185.16","181.10","5.91M","1.32%"
"09/23/2025","182.04","179.87","182.66","179.68","5.90M","1.35%"
"09/22/2025","179.62","179.40","181.40","179.30","7.03M","0.14%"
"09/19/2025","179.37","182.59","183.25","178.16","16.21M","-1.24%"
"09/18/2025","181.62","183.24","183.72","180.31","7.94M","0.73%"
"09/17/2025","180.30","177.84","182.57","177.61","7.21M","1.50%"
"09/16/2025","177.63","178.74","181.14","177.28","7.92M","-0.32%"
"09/15/2025","178.20","175.88","179.22","174.01","11.66M","-2.41%"
"09/12/2025","182.60","184.10","184.34","182.34","6.28M","-0.95%"
"09/11/2025","184.35","184.51","184.81","182.26","6.60M","0.18%"
"09/10/2025","184.01","185.04","185.49","182.94","5.96M","-0.55%"
"09/09/2025","185.03","184.40","185.66","183.66","6.14M","-0.43%"
"09/08/2025","185.82","188.15","188.37","183.07","9.70M","-1.12%"
"09/05/2025","187.93","187.08","189.28","185.29","9.49M","0.34%"
"09/04/2025","187.29","183.76","188.68","181.69","11.34M","-4.32%"
"09/03/2025","195.74","199.21","200.07","191.38","7.04M","-2.04%"
"09/02/2025","199.81","199.38","200.17","196.76","6.24M","-1.32%"
"08/29/2025","202.48","203.51","204.05","201.56","5.37M","-0.79%"
"08/28/2025","204.09","205.83","207.13","203.61","6.17M","-0.67%"
"08/27/2025","205.47","204.96","205.70","203.25","4.19M","-0.25%"
"08/26/2025","205.98","205.78","207.41","205.24","4.55M","0.00%"
"08/25/2025","205.97","206.00","207.00","204.54","3.44M","-0.04%"
"08/22/2025","206.06","202.08","209.09","201.89","6.18M","2.67%"
"08/21/2025","200.71","199.58","202.18","199.45","5.29M","-0.03%"
"08/20/2025","200.77","197.50","201.23","193.45","8.11M","2.47%"
"08/19/2025","195.94","194.67","197.65","193.79","5.49M","0.83%"
"08/18/2025","194.33","194.57","195.52","193.50","2.76M","-0.12%"
"08/15/2025","194.57","193.60","195.37","192.49","5.87M","0.44%"
"08/14/2025","193.71","191.18","194.24","190.03","3.92M","0.22%"
"08/13/2025","193.29","193.58","194.12","190.96","4.97M","0.17%"
"08/12/2025","192.97","185.28","193.84","185.22","9.96M","5.04%"
"08/11/2025","183.71","187.44","188.87","183.40","6.46M","-1.87%"
"08/08/2025","187.22","185.69","187.64","184.66","5.95M","0.70%"
"08/07/2025","185.91","190.76","191.49","184.73","6.56M","0.00%"
"08/06/2025","185.91","184.69","186.90","184.00","7.09M","0.28%"
"08/05/2025","185.40","184.95","186.49","183.59","5.76M","1.46%"
"08/04/2025","182.73","181.72","183.45","180.63","4.68M","1.03%"
"08/01/2025","180.86","179.63","181.59","177.92","6.63M","-0.11%"
"07/31/2025","181.06","186.14","186.91","179.81","10.14M","-4.46%"
"07/30/2025","189.52","192.15","192.58","188.30","6.99M","-0.97%"
"07/29/2025","191.38","189.71","192.88","188.90","7.14M","1.13%"
"07/28/2025","189.25","187.88","190.54","187.75","8.59M","2.30%"
"07/25/2025","184.99","185.70","185.88","183.20","7.03M","-0.38%"
