"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","81.56","80.44","82.07","79.97","14.44M","2.22%"
"01/28/2026","79.78","81.16","81.85","79.74","19.32M","-1.80%"
"01/27/2026","81.24","81.95","82.08","79.86","19.99M","-0.90%"
"01/26/2026","81.98","82.35","83.33","81.91","16.56M","-0.40%"
"01/23/2026","82.31","82.65","83.56","81.47","14.70M","-0.30%"
"01/22/2026","82.56","83.50","85.43","81.51","19.46M","-2.02%"
"01/21/2026","84.26","84.39","85.61","82.95","21.17M","0.65%"
"01/20/2026","83.72","83.06","83.81","82.35","19.43M","-1.33%"
"01/16/2026","84.85","84.15","85.00","83.00","20.74M","0.56%"
"01/15/2026","84.38","85.81","86.35","82.73","18.89M","-0.32%"
"01/14/2026","84.65","85.37","85.99","83.50","15.51M","-0.89%"
"01/13/2026","85.41","84.21","85.94","83.70","14.81M","0.87%"
"01/12/2026","84.67","84.64","85.48","83.77","12.69M","-0.90%"
"01/09/2026","85.44","87.27","87.28","84.88","15.88M","-2.45%"
"01/08/2026","87.59","85.76","88.24","85.35","15.50M","1.62%"
"01/07/2026","86.19","86.24","87.74","85.65","25.29M","0.76%"
"01/06/2026","85.54","81.18","85.65","81.09","27.51M","5.95%"
"01/05/2026","80.74","81.61","82.84","79.57","24.04M","-2.56%"
"01/02/2026","82.86","82.04","83.66","81.47","13.10M","1.41%"
"12/31/2025","81.71","82.00","82.54","81.42","8.43M","-0.50%"
"12/30/2025","82.12","81.74","82.50","81.53","9.50M","0.76%"
"12/29/2025","81.50","80.91","82.20","80.79","12.07M","0.30%"
"12/26/2025","81.26","81.20","81.50","80.68","6.74M","0.14%"
"12/24/2025","81.15","81.01","81.41","80.58","4.31M","0.22%"
"12/23/2025","80.97","81.01","81.42","80.35","10.45M","-0.36%"
"12/22/2025","81.26","81.32","82.25","80.90","20.57M","2.46%"
"12/19/2025","79.31","79.77","79.99","78.31","34.35M","-0.48%"
"12/18/2025","79.69","80.36","80.71","79.55","18.68M","0.69%"
"12/17/2025","79.14","80.81","81.30","78.78","28.01M","-2.20%"
"12/16/2025","80.92","81.75","82.05","80.26","24.47M","-1.15%"
"12/15/2025","81.86","83.46","83.62","81.17","32.07M","-3.82%"
"12/12/2025","85.11","85.50","86.45","84.52","16.21M","-0.39%"
"12/11/2025","85.44","84.06","85.75","83.34","23.35M","1.52%"
"12/10/2025","84.16","88.64","88.75","82.72","51.20M","-5.51%"
"12/09/2025","89.07","91.81","92.01","88.90","17.12M","-3.78%"
"12/08/2025","92.57","90.77","92.78","90.77","12.65M","1.37%"
"12/05/2025","91.32","90.72","92.75","90.46","11.15M","0.36%"
"12/04/2025","90.99","90.18","91.00","89.45","13.15M","0.34%"
"12/03/2025","90.68","89.85","91.38","88.95","21.34M","3.55%"
"12/02/2025","87.57","86.03","88.44","85.63","18.93M","1.16%"
"12/01/2025","86.57","86.99","87.61","85.47","17.52M","-1.11%"
"11/28/2025","87.54","86.51","87.62","86.24","9.07M","2.19%"
"11/26/2025","85.66","84.11","86.36","83.65","20.45M","2.35%"
