"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","292.24","294.59","295.54","289.24","7.31M","-0.61%"
"01/28/2026","294.02","283.72","294.94","283.72","23.40M","4.00%"
"01/27/2026","282.70","293.97","299.50","280.40","65.84M","-19.61%"
"01/26/2026","351.64","353.95","354.79","347.27","10.40M","-1.30%"
"01/23/2026","356.26","354.27","357.87","352.99","9.08M","0.50%"
"01/22/2026","354.47","347.18","354.95","346.77","7.49M","1.93%"
"01/21/2026","347.75","339.43","348.08","338.69","8.93M","2.75%"
"01/20/2026","338.43","327.40","339.89","326.50","7.60M","2.24%"
"01/16/2026","331.02","334.86","336.20","330.43","8.04M","-2.34%"
"01/15/2026","338.96","335.20","339.45","328.06","6.94M","1.19%"
"01/14/2026","334.96","335.37","340.11","334.10","5.74M","0.31%"
"01/13/2026","333.93","341.50","341.84","332.85","5.61M","-1.93%"
"01/12/2026","340.51","341.42","342.65","333.94","7.15M","-1.01%"
"01/09/2026","343.98","347.25","349.05","342.48","4.13M","-0.83%"
"01/08/2026","346.85","341.01","347.90","340.80","5.06M","1.51%"
"01/07/2026","341.70","348.98","350.11","338.04","7.46M","-2.08%"
"01/06/2026","348.97","348.35","352.61","345.12","9.44M","2.03%"
"01/05/2026","342.02","335.45","346.94","333.85","7.96M","1.67%"
"01/02/2026","336.40","330.89","340.26","327.50","6.86M","1.91%"
"12/31/2025","330.11","332.32","333.33","329.88","4.29M","-0.62%"
"12/30/2025","332.16","329.73","336.15","329.51","4.43M","0.98%"
"12/29/2025","328.94","330.89","334.25","328.28","4.35M","-0.87%"
"12/26/2025","331.83","327.20","331.89","326.26","4.36M","1.30%"
"12/24/2025","327.58","325.20","328.99","324.13","2.84M","0.86%"
"12/23/2025","324.80","324.00","327.80","323.76","4.46M","-0.11%"
"12/22/2025","325.16","322.90","329.80","321.65","7.87M","-0.69%"
"12/19/2025","327.42","328.06","334.60","326.07","10.55M","-0.22%"
"12/18/2025","328.14","328.93","330.18","324.57","6.35M","-1.05%"
"12/17/2025","331.63","333.61","335.52","330.48","4.69M","-0.77%"
"12/16/2025","334.20","340.42","340.99","331.03","6.33M","-2.02%"
"12/15/2025","341.10","340.99","344.96","337.00","6.45M","-0.22%"
"12/12/2025","341.84","337.50","344.98","337.37","7.98M","1.52%"
"12/11/2025","336.73","330.37","339.25","328.76","7.51M","2.55%"
"12/10/2025","328.37","322.75","328.73","319.60","5.91M","1.47%"
"12/09/2025","323.60","323.16","326.36","322.48","4.63M","-0.01%"
"12/08/2025","323.62","328.70","329.10","322.83","4.78M","-2.20%"
"12/05/2025","330.91","335.00","335.71","328.51","5.91M","-0.77%"
"12/04/2025","333.49","339.40","341.26","328.72","8.06M","-1.83%"
"12/03/2025","339.71","326.00","341.40","325.01","9.77M","4.67%"
"12/02/2025","324.54","323.37","328.70","322.80","7.98M","0.41%"
"12/01/2025","323.21","327.16","330.06","323.03","6.15M","-1.99%"
"11/28/2025","329.77","331.67","332.06","328.89","2.46M","0.02%"
"11/26/2025","329.71","326.59","335.19","325.89","5.50M","1.05%"
"11/25/2025","326.28","321.12","328.00","320.90","6.15M","2.27%"
"11/24/2025","319.05","324.52","325.85","317.62","10.77M","-0.29%"
"11/21/2025","319.97","311.91","323.83","311.44","8.41M","2.71%"
"11/20/2025","311.54","310.81","314.74","310.00","7.34M","0.79%"
"11/19/2025","309.09","313.93","315.00","304.53","8.18M","-1.43%"
"11/18/2025","313.58","317.01","317.50","308.77","9.18M","-2.17%"
"11/17/2025","320.52","320.60","327.88","319.43","6.49M","-0.42%"
"11/14/2025","321.86","326.95","328.21","320.49","8.68M","-3.21%"
"11/13/2025","332.52","338.35","339.03","331.29","7.79M","-1.93%"
"11/12/2025","339.06","328.45","343.17","327.08","10.40M","3.55%"
"11/11/2025","327.45","323.30","327.86","319.88","7.16M","1.83%"
"11/10/2025","321.58","319.99","324.25","317.17","9.28M","-0.81%"
"11/07/2025","324.21","319.65","324.55","314.16","9.40M","0.82%"
"11/06/2025","321.56","328.92","332.36","321.45","7.92M","-1.89%"
"11/05/2025","327.74","326.30","330.21","324.22","9.70M","-0.93%"
