"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","231.49","229.00","232.04","227.96","1.16M","1.66%"
"01/28/2026","227.71","231.75","234.33","227.63","4.25M","-2.08%"
"01/27/2026","232.55","235.00","236.88","229.17","5.21M","0.72%"
"01/26/2026","230.89","229.85","232.28","229.39","4.17M","0.54%"
"01/23/2026","229.65","231.92","233.68","229.31","3.19M","-0.74%"
"01/22/2026","231.37","229.47","232.85","229.29","3.79M","0.86%"
"01/21/2026","229.39","223.47","229.93","223.15","3.48M","3.47%"
"01/20/2026","221.69","224.63","228.00","219.98","6.03M","-3.40%"
"01/16/2026","229.49","230.03","231.92","228.90","3.86M","-0.44%"
"01/15/2026","230.51","227.78","230.76","227.01","2.43M","1.48%"
"01/14/2026","227.14","227.33","230.38","225.85","3.02M","-0.94%"
"01/13/2026","229.29","230.24","230.76","227.81","2.25M","-0.09%"
"01/12/2026","229.50","226.01","229.69","225.00","3.28M","0.46%"
"01/09/2026","228.44","230.61","231.46","226.86","2.62M","-0.61%"
"01/08/2026","229.85","224.49","230.97","224.32","2.20M","2.39%"
"01/07/2026","224.48","233.90","235.25","224.46","4.48M","-3.91%"
"01/06/2026","233.62","231.49","234.28","231.20","2.24M","0.71%"
"01/05/2026","231.97","231.02","234.44","230.06","2.56M","0.03%"
"01/02/2026","231.91","231.35","232.72","229.64","2.57M","0.26%"
"12/31/2025","231.32","233.14","233.49","231.17","1.77M","-0.75%"
"12/30/2025","233.06","233.98","234.63","232.92","1.88M","-0.63%"
"12/29/2025","234.53","233.44","234.66","233.09","1.55M","0.47%"
"12/26/2025","233.44","234.66","234.94","232.73","902.59K","-0.68%"
"12/24/2025","235.05","233.82","235.47","233.82","921.92K","0.38%"
"12/23/2025","234.15","234.68","235.23","233.25","1.98M","-0.20%"
"12/22/2025","234.61","234.74","235.22","232.51","2.10M","0.16%"
"12/19/2025","234.23","234.42","235.50","232.04","4.72M","-0.08%"
"12/18/2025","234.42","236.80","238.01","234.08","3.05M","-0.98%"
"12/17/2025","236.74","235.29","237.94","234.53","2.53M","0.36%"
"12/16/2025","235.88","241.52","241.52","235.15","2.76M","-1.91%"
"12/15/2025","240.47","240.00","241.17","238.13","3.29M","0.22%"
"12/12/2025","239.95","235.81","239.99","235.23","2.93M","1.62%"
"12/11/2025","236.12","233.79","236.20","232.73","2.89M","0.28%"
"12/10/2025","235.46","232.01","236.77","231.85","4.94M","1.68%"
"12/09/2025","231.56","234.16","234.77","231.50","3.79M","-1.65%"
"12/08/2025","235.44","234.77","237.36","234.13","2.46M","0.06%"
"12/05/2025","235.31","235.76","237.07","234.98","2.49M","-0.83%"
"12/04/2025","237.29","235.72","237.72","234.32","3.16M","0.88%"
"12/03/2025","235.23","232.78","235.86","232.34","3.58M","1.29%"
"12/02/2025","232.24","231.59","233.81","229.37","5.19M","0.38%"
"12/01/2025","231.36","231.46","234.12","231.14","3.46M","-0.20%"
"11/28/2025","231.83","230.93","232.46","230.47","1.21M","0.51%"
"11/26/2025","230.66","229.00","231.83","228.43","3.23M","0.67%"
"11/25/2025","229.13","225.74","229.45","225.26","2.58M","2.06%"
"11/24/2025","224.50","226.59","226.59","222.50","4.48M","-0.76%"
"11/21/2025","226.22","222.32","227.44","221.69","3.60M","2.26%"
"11/20/2025","221.21","221.56","223.48","220.45","3.96M","0.02%"
"11/19/2025","221.17","221.31","221.99","219.97","3.40M","0.16%"
"11/18/2025","220.82","221.71","221.97","219.89","3.86M","-0.08%"
"11/17/2025","221.00","222.85","223.69","220.87","2.92M","-0.91%"
"11/14/2025","223.02","221.72","224.23","220.41","2.89M","0.70%"
"11/13/2025","221.48","222.39","223.62","220.95","2.68M","-0.93%"
"11/12/2025","223.55","224.80","227.06","223.51","1.95M","-0.56%"
"11/11/2025","224.80","224.50","224.90","223.44","2.70M","0.41%"
"11/10/2025","223.88","221.06","224.64","220.74","4.10M","1.08%"
"11/07/2025","221.48","219.22","221.68","218.20","3.74M","1.60%"
"11/06/2025","217.99","216.93","218.56","216.32","3.43M","0.28%"
"11/05/2025","217.38","219.75","221.34","217.28","2.71M","-1.60%"
"11/04/2025","220.91","218.61","221.13","217.46","2.74M","0.96%"
"11/03/2025","218.82","219.94","221.00","218.02","3.55M","-0.70%"
"10/31/2025","220.37","217.50","220.99","216.34","2.59M","0.70%"
"10/30/2025","218.83","216.05","220.30","215.70","2.81M","1.14%"
"10/29/2025","216.37","216.64","218.16","215.53","3.59M","-0.56%"
"10/28/2025","217.59","218.36","220.91","217.56","2.78M","-0.29%"
"10/27/2025","218.23","218.20","218.93","216.40","4.69M","0.75%"
"10/24/2025","216.61","220.51","221.27","215.99","4.13M","-1.56%"
"10/23/2025","220.04","223.28","225.93","219.10","5.15M","-2.31%"
"10/22/2025","225.24","226.99","228.85","225.21","3.76M","-0.57%"
"10/21/2025","226.54","226.29","228.15","225.42","2.73M","-0.33%"
