"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","106.36","104.40","106.43","104.26","3.43M","2.57%"
"01/28/2026","103.70","107.54","108.18","103.59","9.25M","-3.26%"
"01/27/2026","107.20","106.68","112.67","104.75","14.45M","0.22%"
"01/26/2026","106.97","108.21","108.62","106.78","8.19M","-0.94%"
"01/23/2026","107.98","109.56","109.71","107.56","4.05M","-1.21%"
"01/22/2026","109.30","108.99","110.04","108.87","3.49M","0.76%"
"01/21/2026","108.48","107.49","109.32","107.10","3.95M","1.82%"
"01/20/2026","106.54","106.00","107.14","105.15","5.60M","-0.35%"
"01/16/2026","106.91","108.08","108.65","106.82","4.67M","-1.57%"
"01/15/2026","108.62","107.72","108.99","107.22","4.13M","1.14%"
"01/14/2026","107.40","106.49","107.98","106.32","4.04M","0.77%"
"01/13/2026","106.58","107.09","108.05","106.14","4.71M","-1.34%"
"01/12/2026","108.03","107.86","108.66","107.17","4.34M","-0.03%"
"01/09/2026","108.06","108.50","109.67","106.74","5.50M","1.02%"
"01/08/2026","106.97","104.61","107.95","104.13","6.29M","1.48%"
"01/07/2026","105.41","105.52","106.36","104.10","5.69M","0.18%"
"01/06/2026","105.22","102.08","105.24","102.07","6.94M","3.16%"
"01/05/2026","102.00","100.95","102.32","100.59","5.73M","0.97%"
"01/02/2026","101.02","99.30","101.21","98.41","5.03M","1.84%"
"12/31/2025","99.19","99.56","99.81","99.05","3.93M","-0.45%"
"12/30/2025","99.64","99.72","100.17","99.49","3.40M","-0.04%"
"12/29/2025","99.68","100.51","101.00","99.06","4.35M","-0.86%"
"12/26/2025","100.54","100.52","100.89","99.95","2.86M","-0.12%"
"12/24/2025","100.66","100.20","101.07","99.90","1.85M","0.47%"
"12/23/2025","100.19","100.69","100.90","99.88","4.65M","-0.54%"
"12/22/2025","100.73","101.63","102.00","100.03","5.46M","-1.17%"
"12/19/2025","101.92","101.11","102.19","100.12","17.32M","-0.16%"
"12/18/2025","102.08","101.33","102.89","101.18","7.61M","1.11%"
"12/17/2025","100.96","100.18","101.40","99.91","5.98M","0.85%"
"12/16/2025","100.11","100.14","100.68","99.12","4.84M","0.04%"
"12/15/2025","100.07","101.00","101.26","99.75","5.06M","-0.84%"
"12/12/2025","100.92","101.06","101.66","100.02","4.51M","0.44%"
"12/11/2025","100.48","100.11","101.20","99.00","5.26M","0.84%"
"12/10/2025","99.64","97.14","100.11","97.10","7.19M","2.75%"
"12/09/2025","96.97","95.60","97.19","95.53","4.74M","1.49%"
"12/08/2025","95.55","95.04","96.43","94.87","5.62M","0.72%"
"12/05/2025","94.87","95.00","95.85","94.57","5.52M","0.12%"
"12/04/2025","94.76","98.31","98.69","94.50","9.45M","-3.51%"
"12/03/2025","98.21","96.06","98.25","95.89","7.26M","2.75%"
"12/02/2025","95.58","95.44","96.00","94.50","4.85M","0.38%"
"12/01/2025","95.22","95.54","96.66","95.03","4.77M","-0.60%"
"11/28/2025","95.79","95.53","96.35","95.29","2.55M","0.13%"
