"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","56.02","56.14","56.52","55.75","2.89M","0.50%"
"01/28/2026","55.74","56.35","56.45","55.32","7.75M","-1.40%"
"01/27/2026","56.53","55.95","56.69","55.85","12.74M","1.25%"
"01/26/2026","55.83","55.60","56.09","55.40","8.54M","0.65%"
"01/23/2026","55.47","55.93","56.21","55.28","15.68M","-1.26%"
"01/22/2026","56.18","55.63","56.70","55.63","22.47M","1.28%"
"01/21/2026","55.47","55.00","56.12","54.75","14.69M","2.00%"
"01/20/2026","54.38","53.85","55.34","53.75","13.53M","-0.04%"
"01/16/2026","54.40","53.89","55.00","53.89","13.81M","0.83%"
"01/15/2026","53.95","53.54","54.28","53.54","10.72M","0.84%"
"01/14/2026","53.50","53.78","53.91","53.22","15.91M","-1.02%"
"01/13/2026","54.05","54.50","54.69","53.63","15.73M","-0.63%"
"01/12/2026","54.39","54.00","54.43","53.56","15.80M","-1.49%"
"01/09/2026","55.21","55.52","55.86","55.21","5.99M","-0.58%"
"01/08/2026","55.53","54.77","55.98","54.69","9.50M","1.20%"
"01/07/2026","54.87","55.75","55.95","54.72","8.23M","-2.16%"
"01/06/2026","56.08","55.41","56.19","55.22","9.36M","1.06%"
"01/05/2026","55.49","54.12","56.10","54.00","11.70M","2.89%"
"01/02/2026","53.93","53.33","54.18","52.99","11.66M","1.07%"
"12/31/2025","53.36","53.94","53.97","53.33","6.05M","-1.75%"
"12/30/2025","54.31","54.60","54.60","54.13","4.96M","-0.35%"
"12/29/2025","54.50","54.98","55.03","54.41","4.35M","-0.89%"
"12/26/2025","54.99","54.95","55.04","54.63","3.91M","0.09%"
"12/25/2025","54.94","54.65","54.94","54.94","3.54M","0.00%"
"12/24/2025","54.94","54.65","55.15","54.42","3.54M","0.83%"
"12/23/2025","54.49","54.91","55.13","54.47","6.21M","-0.69%"
"12/22/2025","54.87","54.11","54.90","54.05","7.65M","1.31%"
"12/19/2025","54.16","53.89","54.24","53.75","24.51M","0.54%"
"12/18/2025","53.87","53.80","54.41","53.52","9.10M","0.24%"
"12/17/2025","53.74","53.70","54.03","53.58","9.94M","0.50%"
"12/16/2025","53.47","53.89","53.90","53.15","9.66M","-0.45%"
"12/15/2025","53.71","53.82","54.01","53.42","12.05M","0.54%"
"12/12/2025","53.42","53.94","53.98","53.33","9.24M","-0.30%"
"12/11/2025","53.58","53.32","53.96","53.32","10.12M","0.04%"
"12/10/2025","53.56","51.57","53.73","51.57","10.36M","3.86%"
"12/09/2025","51.57","51.30","52.00","51.30","9.19M","0.31%"
"12/08/2025","51.41","51.38","51.91","51.24","7.50M","0.29%"
"12/05/2025","51.26","51.17","51.78","51.12","7.69M","-0.21%"
"12/04/2025","51.37","50.95","51.51","50.90","7.92M","0.86%"
"12/03/2025","50.93","49.96","50.96","49.79","9.58M","2.52%"
"12/02/2025","49.68","49.63","49.98","49.17","10.79M","0.55%"
"12/01/2025","49.41","48.94","49.85","48.92","8.98M","0.73%"
"11/28/2025","49.05","48.91","49.26","48.84","3.28M","0.20%"
"11/26/2025","48.95","48.92","49.30","48.74","4.45M","0.08%"
"11/25/2025","48.91","48.05","49.19","47.98","10.15M","2.43%"
"11/24/2025","47.75","47.77","47.93","47.22","10.96M","-0.06%"
"11/21/2025","47.78","46.83","48.15","46.63","7.87M","2.77%"
"11/20/2025","46.49","47.20","47.76","46.43","8.17M","-0.66%"
"11/19/2025","46.80","45.88","46.84","45.80","8.90M","1.92%"
"11/18/2025","45.92","45.27","46.34","45.02","8.04M","0.99%"
"11/17/2025","45.47","46.90","46.99","45.27","7.83M","-3.46%"
"11/14/2025","47.10","47.19","47.38","46.67","6.12M","-0.44%"
"11/13/2025","47.31","47.73","48.01","47.07","6.29M","-1.21%"
"11/12/2025","47.89","47.77","48.51","47.70","5.66M","0.57%"
"11/11/2025","47.62","47.70","47.94","47.32","4.75M","0.08%"
"11/10/2025","47.58","47.41","47.81","47.11","5.69M","0.55%"
"11/07/2025","47.32","46.62","47.34","46.47","6.87M","1.00%"
"11/06/2025","46.85","46.79","47.18","46.49","7.17M","0.24%"
"11/05/2025","46.74","46.43","47.01","46.01","5.58M","0.67%"
"11/04/2025","46.43","46.45","46.99","46.15","7.20M","-0.41%"
"11/03/2025","46.62","46.55","46.81","45.98","10.46M","-0.13%"
"10/31/2025","46.68","46.43","46.87","46.08","9.64M","-0.34%"
"10/30/2025","46.84","46.65","47.71","46.61","7.19M","0.43%"
"10/29/2025","46.64","46.91","47.49","46.37","8.83M","-1.33%"
"10/28/2025","47.27","47.54","47.67","47.09","7.55M","-1.11%"
"10/27/2025","47.80","48.44","48.49","47.49","10.28M","-0.95%"
"10/24/2025","48.26","48.21","48.60","48.13","10.98M","0.92%"
"10/23/2025","47.82","47.66","47.88","47.09","12.07M","1.04%"
"10/22/2025","47.33","47.65","47.84","47.07","8.50M","-0.59%"
"10/21/2025","47.61","47.03","47.83","46.95","11.28M","1.08%"
"10/20/2025","47.10","45.97","47.19","45.91","9.44M","3.09%"
"10/17/2025","45.69","46.29","46.49","45.51","14.03M","0.09%"
"10/16/2025","45.65","47.24","47.78","45.39","21.62M","-1.72%"
"10/15/2025","46.45","47.36","47.42","46.17","11.33M","-1.36%"
"10/14/2025","47.09","45.99","47.36","45.92","8.84M","2.01%"
"10/13/2025","46.16","45.89","46.32","45.59","6.90M","1.94%"
"10/10/2025","45.28","47.34","47.40","45.22","12.47M","-3.86%"
"10/09/2025","47.10","47.18","47.40","46.76","7.01M","0.23%"
"10/08/2025","46.99","47.73","47.75","46.88","5.32M","-1.07%"
"10/07/2025","47.50","48.04","48.23","47.45","6.62M","-0.46%"
"10/06/2025","47.72","48.31","48.99","47.47","8.43M","-0.73%"
"10/03/2025","48.07","48.03","48.45","47.85","9.29M","0.33%"
"10/02/2025","47.91","47.86","48.12","47.61","8.47M","0.06%"
"10/01/2025","47.88","48.18","48.35","47.82","9.42M","-0.93%"
"09/30/2025","48.33","48.52","48.72","47.47","10.18M","-1.35%"
"09/29/2025","48.99","49.42","49.51","48.51","9.38M","-0.91%"
