"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","330.26","330.04","331.37","323.60","4.11M","1.00%"
"01/28/2026","326.98","326.73","328.39","324.88","8.11M","0.53%"
"01/27/2026","325.26","328.48","328.93","324.91","6.37M","-0.98%"
"01/26/2026","328.49","328.00","332.00","325.03","7.54M","0.71%"
"01/23/2026","326.18","325.86","327.80","324.62","5.67M","-0.06%"
"01/22/2026","326.36","326.46","328.39","324.00","6.94M","0.33%"
"01/21/2026","325.28","326.43","328.67","323.00","8.97M","-0.17%"
"01/20/2026","325.82","322.23","328.32","321.56","8.28M","-0.76%"
"01/16/2026","328.30","326.78","329.25","325.40","8.34M","0.17%"
"01/15/2026","327.75","329.33","331.69","326.37","8.59M","-0.43%"
"01/14/2026","329.17","328.66","329.90","323.94","9.39M","0.39%"
"01/13/2026","327.88","337.00","337.52","323.83","20.38M","-4.46%"
"01/12/2026","343.20","342.78","346.51","337.32","13.28M","-1.88%"
"01/09/2026","349.77","352.16","354.70","349.15","4.90M","-0.70%"
"01/08/2026","352.23","355.00","356.35","349.50","6.36M","-1.03%"
"01/07/2026","355.88","357.15","358.28","354.51","6.33M","-0.47%"
"01/06/2026","357.56","353.68","358.62","352.00","6.78M","1.06%"
"01/05/2026","353.80","344.50","357.54","344.05","7.59M","2.11%"
"01/02/2026","346.48","349.87","350.05","343.48","5.40M","-1.21%"
"12/31/2025","350.71","353.65","355.20","350.69","3.50M","-0.82%"
"12/30/2025","353.62","354.00","354.87","352.66","3.37M","-0.28%"
"12/29/2025","354.61","355.49","356.55","353.80","3.99M","-0.11%"
"12/26/2025","355.00","355.10","356.73","353.71","2.02M","-0.04%"
"12/24/2025","355.14","353.38","355.99","353.01","2.02M","0.50%"
"12/23/2025","353.38","352.00","356.38","352.00","3.70M","0.37%"
"12/22/2025","352.09","350.00","353.44","349.59","5.04M","0.81%"
"12/19/2025","349.25","346.05","349.91","346.05","18.62M","0.94%"
"12/18/2025","346.01","345.17","347.53","344.27","6.81M","0.46%"
"12/17/2025","344.41","345.55","347.79","343.68","7.26M","-0.20%"
"12/16/2025","345.11","346.00","347.62","343.72","7.27M","-0.51%"
"12/15/2025","346.89","347.83","348.45","343.83","7.00M","-0.27%"
"12/12/2025","347.83","348.00","349.84","345.97","6.94M","0.64%"
"12/11/2025","345.63","332.60","347.32","330.06","12.95M","6.11%"
"12/10/2025","325.73","326.64","328.76","325.30","5.47M","-0.24%"
"12/09/2025","326.50","326.61","328.23","325.07","4.33M","-0.10%"
"12/08/2025","326.84","329.88","331.34","324.71","6.06M","-1.33%"
"12/05/2025","331.24","326.83","334.11","326.40","5.27M","1.27%"
"12/04/2025","327.10","331.28","332.38","324.28","6.28M","-0.76%"
"12/03/2025","329.61","329.61","332.35","329.35","6.30M","0.00%"
"12/02/2025","329.62","331.45","332.80","327.21","8.20M","-0.23%"
"12/01/2025","330.39","332.94","333.30","330.14","7.08M","-1.21%"
"11/28/2025","334.44","333.43","335.02","332.00","4.59M","0.19%"
"11/26/2025","333.79","334.53","335.71","333.05","4.31M","-0.22%"
"11/25/2025","334.53","328.90","336.06","328.90","5.85M","1.59%"
"11/24/2025","329.30","329.24","330.73","326.00","9.34M","0.40%"
"11/21/2025","327.98","325.38","331.08","324.29","8.93M","1.30%"
"11/20/2025","323.77","324.12","328.40","323.14","6.51M","-0.11%"
"11/19/2025","324.12","321.52","324.57","319.87","7.07M","0.92%"
"11/18/2025","321.18","324.50","325.00","318.00","9.17M","-1.40%"
"11/17/2025","325.75","331.16","333.36","324.93","6.49M","-1.29%"
"11/14/2025","330.02","335.89","336.08","329.03","6.42M","-1.80%"
"11/13/2025","336.08","339.04","341.46","335.60","4.96M","-0.83%"
"11/12/2025","338.88","338.25","344.26","337.40","6.39M","-0.01%"
"11/11/2025","338.92","335.50","339.09","333.20","4.45M","1.22%"
"11/10/2025","334.85","336.65","338.68","334.32","5.30M","-0.35%"
"11/07/2025","336.02","336.73","338.29","334.85","5.32M","-0.28%"
"11/06/2025","336.96","338.59","338.65","333.71","8.51M","-0.91%"
"11/05/2025","340.04","340.13","342.11","336.36","4.98M","-0.08%"
