"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","39.92","39.58","40.29","39.49","15.60M","1.31%"
"01/28/2026","39.41","39.41","39.86","39.36","24.41M","0.23%"
"01/27/2026","39.32","39.66","39.68","39.19","26.11M","-0.76%"
"01/26/2026","39.62","39.68","39.80","39.53","21.08M","0.25%"
"01/23/2026","39.52","39.44","39.56","39.06","21.85M","0.10%"
"01/22/2026","39.48","39.32","39.69","39.25","18.88M","0.61%"
"01/21/2026","39.24","39.10","39.32","38.96","21.16M","0.41%"
"01/20/2026","39.08","38.89","39.22","38.68","30.65M","0.44%"
"01/16/2026","38.91","39.10","39.35","38.90","38.98M","-1.14%"
"01/15/2026","39.36","39.83","39.86","39.24","26.48M","-1.18%"
"01/14/2026","39.83","39.12","39.85","39.10","25.71M","2.10%"
"01/13/2026","39.01","39.84","39.92","38.80","37.26M","-2.08%"
"01/12/2026","39.84","39.82","40.06","39.51","31.26M","-1.53%"
"01/09/2026","40.46","40.57","40.76","40.29","32.11M","-0.27%"
"01/08/2026","40.57","40.17","40.73","40.06","28.10M","1.10%"
"01/07/2026","40.13","40.55","40.80","39.99","26.83M","-0.42%"
"01/06/2026","40.30","40.34","40.46","39.99","32.76M","0.17%"
"01/05/2026","40.23","40.43","40.51","39.83","43.09M","-0.72%"
"01/02/2026","40.52","40.77","40.90","40.30","30.86M","-0.52%"
"12/31/2025","40.73","40.71","40.96","40.67","17.45M","0.07%"
"12/30/2025","40.70","40.48","40.77","40.42","15.58M","0.54%"
"12/29/2025","40.48","40.51","40.70","40.38","16.85M","0.00%"
"12/26/2025","40.48","40.27","40.53","40.27","11.88M","0.40%"
"12/25/2025","40.32","39.92","40.32","40.32","7.95M","0.00%"
"12/24/2025","40.32","39.92","40.33","39.89","7.95M","1.00%"
"12/23/2025","39.92","39.99","40.20","39.87","19.76M","-0.15%"
"12/22/2025","39.98","39.72","40.06","39.66","21.11M","0.40%"
"12/19/2025","39.82","40.14","40.24","39.81","53.35M","-1.46%"
"12/18/2025","40.41","40.78","40.91","40.39","18.82M","-1.15%"
"12/17/2025","40.88","40.78","40.90","40.47","22.32M","0.32%"
"12/16/2025","40.75","40.90","41.00","40.65","22.71M","-0.12%"
"12/15/2025","40.80","40.90","41.31","40.80","34.73M","-0.22%"
"12/12/2025","40.89","40.22","40.98","40.10","20.60M","1.67%"
"12/11/2025","40.22","40.00","40.55","39.97","21.89M","0.75%"
"12/10/2025","39.92","40.20","40.26","39.68","40.05M","-0.55%"
"12/09/2025","40.14","41.23","41.48","40.11","31.77M","-2.81%"
"12/08/2025","41.30","41.75","41.75","40.92","22.93M","-0.94%"
"12/05/2025","41.69","41.26","42.06","41.24","27.80M","1.04%"
"12/04/2025","41.26","40.86","41.35","40.67","28.38M","1.45%"
"12/03/2025","40.67","40.74","41.32","40.65","19.91M","0.15%"
"12/02/2025","40.61","40.75","40.76","40.36","23.19M","-0.32%"
"12/01/2025","40.74","40.96","41.09","40.68","19.66M","-0.90%"
"11/28/2025","41.11","40.82","41.13","40.71","9.93M","0.56%"
"11/26/2025","40.88","40.59","40.97","40.56","15.19M","0.71%"
"11/25/2025","40.59","40.59","40.80","40.41","24.38M","0.95%"
"11/24/2025","40.21","41.35","41.46","40.15","44.81M","-2.47%"
"11/21/2025","41.23","40.67","41.61","40.42","32.04M","1.15%"
"11/20/2025","40.76","41.15","41.44","40.65","32.17M","-1.04%"
"11/19/2025","41.19","41.50","41.61","40.94","21.90M","-0.70%"
"11/18/2025","41.48","41.03","41.50","40.99","24.07M","1.15%"
"11/17/2025","41.01","41.06","41.28","40.88","21.62M","-0.12%"
"11/14/2025","41.06","41.32","41.42","40.65","29.37M","-0.12%"
"11/13/2025","41.11","40.84","41.73","40.74","30.49M","0.76%"
"11/12/2025","40.80","40.78","40.96","40.74","17.83M","0.25%"
"11/11/2025","40.70","40.05","40.78","40.04","25.36M","2.13%"
"11/10/2025","39.85","39.90","40.15","39.57","22.41M","-0.45%"
