"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","89.46","88.75","89.97","88.54","8.09M","1.62%"
"01/28/2026","88.03","88.75","89.06","86.84","16.40M","-0.77%"
"01/27/2026","88.71","88.15","89.07","87.48","15.11M","0.75%"
"01/26/2026","88.05","87.10","88.29","87.10","13.05M","1.25%"
"01/23/2026","86.96","87.50","87.71","86.03","15.23M","-1.23%"
"01/22/2026","88.04","86.43","89.00","86.43","19.67M","2.23%"
"01/21/2026","86.12","86.50","87.56","86.03","17.61M","-0.62%"
"01/20/2026","86.66","87.26","88.64","86.28","19.35M","-1.95%"
"01/16/2026","88.38","88.96","89.69","88.08","26.98M","-0.65%"
"01/15/2026","88.96","89.34","89.91","88.36","21.74M","-0.32%"
"01/14/2026","89.25","90.75","90.80","88.06","33.80M","-4.61%"
"01/13/2026","93.56","95.29","95.75","93.06","22.00M","-1.47%"
"01/12/2026","94.96","94.83","95.54","93.89","15.96M","-1.03%"
"01/09/2026","95.95","95.81","96.57","95.25","10.26M","0.37%"
"01/08/2026","95.60","94.26","96.15","94.19","12.41M","1.39%"
"01/07/2026","94.29","95.71","95.89","93.65","14.59M","-2.18%"
"01/06/2026","96.39","95.40","96.54","95.07","12.33M","0.01%"
"01/05/2026","96.38","95.09","97.76","94.97","14.38M","1.24%"
"01/02/2026","95.20","93.30","95.35","92.81","9.24M","2.15%"
"12/31/2025","93.20","94.50","94.68","93.11","7.92M","-1.18%"
"12/30/2025","94.31","94.73","94.88","93.99","6.42M","-0.22%"
"12/29/2025","94.52","95.36","95.61","94.37","8.62M","-0.78%"
"12/26/2025","95.26","95.36","95.46","94.72","5.17M","-0.04%"
"12/24/2025","95.30","94.65","95.85","94.47","5.51M","0.88%"
"12/23/2025","94.47","94.24","94.68","94.03","8.64M","0.20%"
"12/22/2025","94.28","93.20","94.39","93.05","9.51M","1.37%"
"12/19/2025","93.01","91.61","93.13","91.60","37.78M","1.67%"
"12/18/2025","91.48","93.03","93.89","91.29","11.84M","-1.20%"
"12/17/2025","92.59","92.75","93.33","92.47","14.82M","0.43%"
"12/16/2025","92.19","93.08","93.17","91.43","12.98M","-0.76%"
"12/15/2025","92.90","93.58","94.26","92.49","13.89M","0.15%"
"12/12/2025","92.76","93.12","93.42","92.12","12.53M","0.18%"
"12/11/2025","92.59","90.54","93.42","90.22","15.51M","2.10%"
"12/10/2025","90.69","88.94","90.86","88.19","22.73M","2.02%"
"12/09/2025","88.89","90.24","90.25","88.78","17.10M","-1.30%"
"12/08/2025","90.06","89.82","91.02","89.15","13.27M","0.26%"
"12/05/2025","89.83","89.99","91.11","89.55","11.21M","-0.42%"
"12/04/2025","90.21","89.40","90.63","89.32","13.43M","0.96%"
"12/03/2025","89.35","86.26","89.39","86.26","14.44M","3.51%"
"12/02/2025","86.32","85.69","86.79","85.28","9.48M","1.08%"
"12/01/2025","85.40","85.83","86.56","85.17","9.79M","-0.52%"
"11/28/2025","85.85","85.64","86.52","85.31","6.55M","0.34%"
"11/26/2025","85.56","85.42","86.39","85.13","9.30M","0.54%"
"11/25/2025","85.10","84.53","85.54","83.61","12.97M","0.52%"
"11/24/2025","84.66","83.09","85.09","82.41","27.57M","1.87%"
"11/21/2025","83.11","82.77","83.63","81.05","16.17M","0.86%"
"11/20/2025","82.40","85.06","86.04","82.32","12.14M","-2.09%"
"11/19/2025","84.16","83.97","84.82","83.61","10.96M","0.36%"
"11/18/2025","83.86","83.42","84.76","82.93","14.23M","0.53%"
"11/17/2025","83.42","84.68","85.05","82.54","14.46M","-1.92%"
"11/14/2025","85.05","84.45","85.35","82.96","15.40M","0.41%"
"11/13/2025","84.70","86.16","86.89","84.46","15.71M","-1.81%"
"11/12/2025","86.26","86.31","88.64","85.93","16.78M","0.08%"
"11/11/2025","86.19","86.11","87.06","86.04","13.85M","0.10%"
"11/10/2025","86.10","86.29","87.00","85.45","13.14M","0.07%"
"11/07/2025","86.04","85.11","86.09","84.04","15.61M","0.00%"
"11/06/2025","86.04","86.90","87.34","85.51","16.80M","-1.05%"
"11/05/2025","86.95","87.38","88.30","85.91","15.61M","-0.21%"
"11/04/2025","87.13","87.00","88.50","85.88","16.74M","-0.19%"
"11/03/2025","87.30","87.14","87.89","85.85","12.77M","0.38%"
"10/31/2025","86.97","85.48","87.35","85.01","14.78M","1.14%"
"10/30/2025","85.99","86.08","87.26","85.88","14.83M","-0.01%"
"10/29/2025","86.00","86.82","87.24","85.67","16.44M","-1.04%"
"10/28/2025","86.90","87.06","87.30","85.78","13.20M","-0.13%"
"10/27/2025","87.01","86.90","87.34","86.31","11.68M","0.69%"
"10/24/2025","86.41","84.80","86.88","84.76","14.01M","2.31%"
"10/23/2025","84.46","84.31","85.48","83.75","14.16M","0.69%"
"10/22/2025","83.88","85.15","85.16","83.14","18.96M","-1.04%"
"10/21/2025","84.76","86.12","87.31","84.65","20.10M","-1.46%"
"10/20/2025","86.02","83.61","86.14","83.09","15.78M","3.29%"
"10/17/2025","83.28","84.45","84.53","82.31","18.80M","-0.86%"
"10/16/2025","84.00","86.99","87.43","83.00","22.72M","-2.85%"
"10/15/2025","86.46","85.17","87.47","85.16","22.91M","2.25%"
"10/14/2025","84.56","82.52","86.06","80.39","36.26M","7.15%"
"10/13/2025","78.92","78.74","79.23","78.28","14.23M","1.67%"
"10/10/2025","77.62","79.61","80.44","77.62","16.00M","-2.84%"
"10/09/2025","79.89","79.91","80.75","79.42","8.43M","0.20%"
"10/08/2025","79.73","81.25","81.33","79.54","11.28M","-1.74%"
"10/07/2025","81.14","80.87","81.36","80.54","10.37M","0.56%"
"10/06/2025","80.69","80.56","81.46","79.57","12.84M","0.02%"
"10/03/2025","80.67","81.02","81.69","80.44","10.12M","0.21%"
"10/02/2025","80.50","80.70","81.05","80.04","11.42M","-0.46%"
