"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","117.21","116.65","117.48","116.08","6.20M","0.54%"
"01/28/2026","116.57","116.64","117.46","115.86","16.34M","-0.32%"
"01/27/2026","116.94","117.50","117.63","115.48","22.97M","-0.60%"
"01/26/2026","117.64","117.81","118.85","117.39","19.55M","-0.08%"
"01/23/2026","117.73","118.17","118.61","117.14","20.81M","-0.08%"
"01/22/2026","117.83","119.29","119.52","117.65","24.55M","-1.28%"
"01/21/2026","119.36","118.07","120.49","117.54","34.81M","0.55%"
"01/20/2026","118.71","120.89","121.62","117.61","45.33M","-0.83%"
"01/16/2026","119.70","118.67","120.60","116.90","415.14M","0.42%"
"01/15/2026","119.20","119.98","120.87","118.73","34.56M","-0.70%"
"01/14/2026","120.04","120.19","121.24","119.03","32.76M","-0.27%"
"01/13/2026","120.36","117.89","120.51","117.73","31.22M","2.03%"
"01/12/2026","117.97","117.50","118.84","116.41","49.18M","3.00%"
"01/09/2026","114.53","112.25","115.46","112.25","21.90M","1.29%"
"01/08/2026","113.07","111.29","113.47","109.81","24.06M","0.31%"
"01/07/2026","112.72","114.18","114.73","112.10","23.31M","-1.42%"
"01/06/2026","114.34","112.40","114.79","111.99","20.12M","1.45%"
"01/05/2026","112.71","112.82","113.73","112.15","19.56M","-0.04%"
"01/02/2026","112.76","111.43","112.79","111.12","14.31M","1.21%"
"12/31/2025","111.41","111.73","112.25","111.32","11.49M","-0.46%"
"12/30/2025","111.92","111.89","112.69","111.83","11.73M","-0.54%"
"12/29/2025","112.53","111.59","112.78","111.57","12.98M","0.71%"
"12/26/2025","111.74","111.72","111.97","111.36","9.00M","0.12%"
"12/24/2025","111.61","110.90","111.71","110.55","9.01M","0.64%"
"12/23/2025","110.90","111.99","112.35","110.70","20.32M","-1.51%"
"12/22/2025","112.60","114.01","114.32","112.22","21.47M","-1.54%"
"12/19/2025","114.36","115.14","115.28","113.53","50.04M","-0.41%"
"12/18/2025","114.83","115.01","116.48","114.61","21.48M","-0.72%"
"12/17/2025","115.66","115.20","116.39","115.07","16.18M","0.21%"
"12/16/2025","115.42","116.57","116.88","114.95","19.64M","-1.17%"
"12/15/2025","116.79","116.93","117.45","115.64","18.71M","0.08%"
"12/12/2025","116.70","115.26","116.95","115.02","19.09M","1.02%"
"12/11/2025","115.52","113.14","115.87","112.85","21.59M","2.07%"
"12/10/2025","113.18","115.35","116.23","112.99","22.86M","-1.63%"
"12/09/2025","115.06","113.95","115.72","113.02","24.33M","1.32%"
"12/08/2025","113.56","114.57","114.99","112.30","22.70M","-1.35%"
"12/05/2025","115.11","114.73","116.27","114.68","23.96M","0.24%"
"12/04/2025","114.84","113.62","114.89","113.16","25.91M","0.38%"
"12/03/2025","114.41","112.50","114.89","112.22","24.48M","1.78%"
"12/02/2025","112.41","111.47","112.65","110.79","18.71M","0.79%"
"12/01/2025","111.53","110.51","111.75","110.36","17.24M","0.92%"
"11/28/2025","110.51","109.30","110.70","109.00","9.85M","1.29%"
"11/26/2025","109.10","107.20","109.59","107.17","17.78M","1.96%"
"11/25/2025","107.00","104.61","107.42","104.23","20.21M","2.83%"
"11/24/2025","104.06","105.36","106.27","103.76","42.52M","-1.20%"
"11/21/2025","105.32","107.98","108.15","104.72","41.42M","-1.67%"
"11/20/2025","107.11","103.94","107.91","102.68","50.38M","6.46%"
"11/19/2025","100.61","101.58","101.71","99.68","22.16M","-0.77%"
"11/18/2025","101.39","102.98","103.34","101.38","17.60M","-1.52%"
"11/17/2025","102.95","102.58","103.32","102.10","15.29M","0.46%"
"11/14/2025","102.48","100.20","102.49","98.88","23.42M","-0.06%"
"11/13/2025","102.54","103.59","103.93","102.02","18.09M","-0.87%"
"11/12/2025","103.44","103.35","103.60","102.66","12.08M","0.00%"
"11/11/2025","103.44","102.50","103.74","102.32","13.18M","1.00%"
"11/10/2025","102.42","102.15","102.67","101.60","14.51M","-0.17%"
"11/07/2025","102.59","102.13","102.97","101.73","17.25M","0.89%"
"11/06/2025","101.68","101.34","101.93","100.03","14.87M","0.21%"
"11/05/2025","101.47","101.74","102.68","100.85","13.36M","-0.78%"
"11/04/2025","102.27","102.13","102.62","101.46","12.64M","0.67%"
"11/03/2025","101.59","100.82","101.80","100.40","14.81M","0.41%"
"10/31/2025","101.18","101.70","102.10","100.18","20.24M","-1.03%"
"10/30/2025","102.23","102.20","103.37","101.96","14.07M","-0.22%"
"10/29/2025","102.46","102.90","103.67","102.11","11.99M","-0.69%"
"10/28/2025","103.17","104.06","104.14","103.05","13.32M","-1.24%"
"10/27/2025","104.47","106.34","106.36","104.15","16.38M","-1.60%"
"10/24/2025","106.17","107.07","107.17","105.51","10.32M","-0.65%"
"10/23/2025","106.86","107.35","107.57","105.78","11.41M","-0.26%"
"10/22/2025","107.14","106.55","107.76","105.65","12.30M","0.87%"
"10/21/2025","106.22","107.33","107.48","106.18","10.90M","-0.78%"
"10/20/2025","107.05","107.85","108.25","106.61","10.58M","-0.63%"
"10/17/2025","107.73","107.17","108.20","106.22","13.74M","1.18%"
"10/16/2025","106.47","109.20","109.57","105.66","16.37M","-2.35%"
"10/15/2025","109.03","107.32","109.56","107.30","21.42M","1.70%"
"10/14/2025","107.21","104.05","107.92","102.89","30.86M","4.98%"
"10/13/2025","102.12","101.37","102.45","101.07","10.87M","0.27%"
"10/10/2025","101.84","102.05","103.63","101.52","18.52M","0.07%"
"10/09/2025","101.77","103.13","103.45","100.37","19.51M","-1.10%"
"10/08/2025","102.90","103.02","103.26","102.15","13.58M","-0.33%"
"10/07/2025","103.24","102.38","103.25","100.95","15.54M","0.53%"
"10/06/2025","102.70","101.88","103.07","101.58","13.30M","0.62%"
"10/03/2025","102.07","101.46","102.82","101.20","11.87M","0.36%"
"10/02/2025","101.70","101.45","102.14","99.87","15.61M","-0.26%"
"10/01/2025","101.96","102.56","102.86","100.55","16.14M","-1.07%"
"09/30/2025","103.06","103.00","103.93","102.72","13.87M","-0.02%"
"09/29/2025","103.08","103.05","103.31","102.07","15.48M","-0.08%"
"09/26/2025","103.16","102.88","103.49","102.47","11.86M","0.11%"
"09/25/2025","103.05","103.21","103.51","102.58","13.37M","0.31%"
"09/24/2025","102.73","103.04","103.47","102.47","11.39M","0.20%"
"09/23/2025","102.52","102.41","102.68","101.33","13.16M","-0.29%"
"09/22/2025","102.82","102.45","103.20","101.92","12.86M","0.48%"
"09/19/2025","102.33","103.81","103.94","102.09","34.79M","-1.23%"
"09/18/2025","103.60","103.78","104.64","102.12","14.87M","-0.64%"
"09/17/2025","104.27","103.73","106.11","103.73","25.38M","0.82%"
"09/16/2025","103.42","103.85","104.21","103.13","14.48M","-0.26%"
"09/15/2025","103.69","103.65","103.98","103.40","10.76M","0.19%"
"09/12/2025","103.49","102.54","103.97","102.36","11.64M","0.82%"
"09/11/2025","102.65","100.99","102.78","100.28","15.90M","2.23%"
"09/10/2025","100.41","101.95","102.45","100.39","17.93M","-1.84%"
"09/09/2025","102.29","102.00","102.49","101.55","11.82M","0.01%"
"09/08/2025","102.28","100.85","102.36","100.42","13.69M","1.76%"
"09/05/2025","100.51","101.08","101.48","99.55","13.75M","-0.42%"
"09/04/2025","100.93","99.91","101.35","99.65","15.64M","1.50%"
"09/03/2025","99.44","97.85","99.44","97.50","19.00M","1.62%"
"09/02/2025","97.85","97.23","97.85","96.51","15.35M","0.90%"
"08/29/2025","96.98","96.10","97.03","95.79","15.60M","0.91%"
"08/28/2025","96.11","96.00","96.57","95.70","19.24M","0.03%"
"08/27/2025","96.08","95.90","96.32","95.60","12.93M","0.03%"
"08/26/2025","96.05","96.28","96.47","95.42","22.27M","-0.02%"
"08/25/2025","96.07","97.00","97.58","96.07","18.96M","-0.78%"
"08/22/2025","96.83","98.07","99.05","96.76","32.70M","-1.15%"
"08/21/2025","97.96","99.41","99.45","96.95","51.83M","-4.49%"
"08/20/2025","102.57","101.15","102.65","100.93","18.66M","1.26%"
"08/19/2025","101.29","100.96","102.43","100.80","17.00M","0.59%"
"08/18/2025","100.70","100.00","100.88","99.92","11.66M","0.70%"
"08/15/2025","100.00","100.63","100.77","99.54","13.60M","-0.84%"
"08/14/2025","100.85","101.22","101.44","100.72","10.86M","-0.14%"
"08/13/2025","100.99","102.15","102.81","100.85","19.40M","-2.54%"
"08/12/2025","103.62","104.25","104.31","103.37","17.92M","-0.30%"
"08/11/2025","103.93","103.90","104.33","103.11","12.86M","0.19%"
"08/08/2025","103.73","103.37","104.72","103.15","12.39M","0.59%"
"08/07/2025","103.12","103.46","103.90","102.11","12.51M","-0.23%"
"08/06/2025","103.36","99.46","103.68","99.46","23.74M","4.08%"
"08/05/2025","99.31","99.67","100.47","98.91","17.98M","-0.28%"
"08/04/2025","99.59","98.20","99.91","98.20","19.05M","1.12%"
"08/01/2025","98.49","98.00","98.83","97.67","16.75M","0.52%"
"07/31/2025","97.98","97.44","98.63","97.31","15.65M","0.40%"
"07/30/2025","97.59","98.61","98.88","97.29","13.86M","-0.75%"
"07/29/2025","98.33","97.78","98.72","97.34","14.03M","0.74%"
"07/28/2025","97.61","97.28","98.13","97.07","12.29M","0.14%"
"07/25/2025","97.47","96.84","97.65","96.53","12.87M","0.90%"
"07/24/2025","96.60","95.57","96.96","95.35","14.99M","0.96%"
"07/23/2025","95.68","96.01","96.29","95.29","9.73M","-0.18%"
